procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  0      0 12686656 321884 2497504    0    0     0     1    2    0 57  0 43  0  0
71  0      0 12684112 321884 2497508    0    0     0     0  372  348 100  0  0  0  0
70  0      0 12678404 321884 2497508    0    0     0     0  292  329 100  0  0  0  0
17  0      0 12666096 321884 2497868    0    0     0     0  452  378 99  1  0  0  0
38  0      0 12653792 321884 2498668    0    0     0    40  399  366 99  1  0  0  0
32  0      0 12653668 321884 2498668    0    0     0    60  377  352 99  1  0  0  0
33  0      0 12654040 321884 2498672    0    0     0     0  405  361 100  0  0  0  0
39  0      0 12654536 321884 2498676    0    0     0     0  391  342 100  0  0  0  0
30  0      0 12652984 321884 2498676    0    0     0     0  405  381 100  0  0  0  0
28  0      0 12655852 321884 2498372    0    0     0    32  407  363 99  1  0  0  0
32  0      0 12655852 321884 2498376    0    0     0     8  393  361 100  0  0  0  0
34  0      0 12655852 321884 2498376    0    0     0     0  434  483 100  0  0  0  0
39  0      0 12655852 321884 2498380    0    0     0     0  400  348 100  0  0  0  0
24  0      0 12658768 321884 2498380    0    0     0     0  386  361 100  0  0  0  0
40  0      0 12658768 321884 2498384    0    0     0    32  448  368 100  0  0  0  0
40  0      0 12658396 321884 2498384    0    0     0     0  341  341 100  0  0  0  0
26  0      0 12656348 321884 2498388    0    0     0     0  453  361 100  0  0  0  0
18  0      0 12658768 321884 2498392    0    0     0     0  391  360 100  0  0  0  0
11  0      0 12658768 321884 2498392    0    0     0     0  411  360 100  0  0  0  0
15  0      0 12661808 321884 2498344    0    0     0    24  408  377 99  1  0  0  0
39  0      0 12665016 321884 2498128    0    0     0     8  427  362 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  0      0 12665016 321884 2498128    0    0     0     0  386  366 99  1  0  0  0
28  0      0 12665016 321884 2498132    0    0     0     0  446  391 100  0  0  0  0
33  0      0 12667932 321884 2498128    0    0     0     0  393  347 100  0  0  0  0
21  0      0 12665512 321884 2498132    0    0     0    36  423  392 100  0  0  0  0
37  0      0 12665512 321884 2498132    0    0     0     0  403  356 100  0  0  0  0
32  0      0 12665388 321884 2498136    0    0     0     0  398  348 99  1  0  0  0
26  0      0 12665388 321884 2498140    0    0     0     0  414  347 100  0  0  0  0
20  0      0 12665388 321884 2498140    0    0     0     0  394  345 100  0  0  0  0
30  0      0 12665388 321884 2498144    0    0     0    24  421  366 100  0  0  0  0
37  0      0 12665388 321884 2498144    0    0     0     8  402  355 100  0  0  0  0
13  0      0 12665388 321884 2498148    0    0     0     0  412  356 100  0  0  0  0
20  0      0 12667808 321884 2498152    0    0     0     0  413  354 99  1  0  0  0
32  0      0 12665512 321884 2498152    0    0     0     0  404  368 100  0  0  0  0
34  0      0 12665512 321884 2498156    0    0     0    36  426  367 100  0  0  0  0
29  0      0 12662472 321884 2498156    0    0     0   120  458  997 99  1  0  0  0
23  0      0 12662472 321884 2498160    0    0     0     0  421  361 99  1  0  0  0
20  0      0 12664892 321884 2498160    0    0     0     0  404  350 99  1  0  0  0
21  0      0 12664892 321884 2498164    0    0     0     0  392  350 100  0  0  0  0
24  0      0 12664892 321884 2498168    0    0     0     0  427  385 100  0  0  0  0
26  0      0 12667808 321884 2498172    0    0     0    96  423  387 100  0  0  0  0
19  0      0 12670944 321884 2498052    0    0     0     0  416  385 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 12673860 321884 2498052    0    0     0     0  409  366 99  1  0  0  0
37  0      0 12673860 321884 2498060    0    0     0     0  410  362 100  0  0  0  0
37  0      0 12673860 321884 2498060    0    0     0     0  416  353 100  0  0  0  0
31  0      0 12671440 321884 2498064    0    0     0    24  407  370 100  0  0  0  0
27  0      0 12668028 321884 2498068    0    0     0     0  413  361 100  0  0  0  0
39  0      0 12667904 321884 2498068    0    0     0     0  381  353 100  0  0  0  0
29  0      0 12667904 321884 2498072    0    0     0     0  415  342 100  0  0  0  0
39  0      0 12665608 321884 2498076    0    0     0     0  381  347 100  0  0  0  0
20  0      0 12665608 321884 2498080    0    0     0    24  440  385 100  0  0  0  0
 9  0      0 12665608 321884 2498084    0    0     0     4  398  363 100  0  0  0  0
22  0      0 12667904 321884 2498084    0    0     0     0  402  351 99  1  0  0  0
24  0      0 12667904 321884 2498088    0    0     0     0  389  347 100  0  0  0  0
29  0      0 12667904 321884 2498092    0    0     0     0  444  380 100  0  0  0  0
39  0      0 12670820 321884 2498084    0    0     0    24  404  383 100  0  0  0  0
40  0      0 12668400 321884 2498084    0    0     0     0  430  376 99  1  0  0  0
41  0      0 12668400 321884 2498088    0    0     0     0  389  345 100  0  0  0  0
26  0      0 12665608 321884 2498092    0    0     0     0  413  356 100  0  0  0  0
25  0      0 12659432 321884 2498220    0    0     0     0  397  346 100  0  0  0  0
30  0      0 12654532 321884 2498620    0    0     0    24  409  371 100  0  0  0  0
30  0      0 12651988 321884 2498620    0    0     0     0  408  360 99  1  0  0  0
34  0      0 12652608 321884 2498624    0    0     0     0  407  354 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 12652608 321884 2498632    0    0     0     0  403  359 100  0  0  0  0
24  0      0 12655400 321884 2498632    0    0     0     0  402  353 99  1  0  0  0
27  0      0 12658568 321884 2498452    0    0     0    24  399  364 100  0  0  0  0
28  0      0 12658568 321884 2498456    0    0     0   100  427  374 100  0  0  0  0
22  0      0 12661484 321884 2498456    0    0     0     0  397  360 100  0  0  0  0
32  0      0 12664524 321884 2498460    0    0     0     0  418  362 100  0  0  0  0
29  0      0 12662104 321884 2498460    0    0     0     0  406  359 100  0  0  0  0
29  0      0 12662104 321884 2498464    0    0     0    48  412  376 100  0  0  0  0
42  0      0 12661980 321884 2498464    0    0     0    72  400  354 100  0  0  0  0
27  0      0 12659064 321884 2498468    0    0     0     0  433  360 99  1  0  0  0
31  0      0 12661608 321884 2498472    0    0     0     0  372  350 99  1  0  0  0
22  0      0 12664532 321884 2498464    0    0     0     0  428  371 100  0  0  0  0
32  0      0 12664532 321884 2498464    0    0     0    24  427  396 100  0  0  0  0
19  0      0 12664532 321884 2498464    0    0     0     0  395  352 100  0  0  0  0
25  0      0 12664532 321884 2498468    0    0     0     0  423  359 100  0  0  0  0
37  0      0 12664160 321884 2498472    0    0     0     0  381  350 100  0  0  0  0
22  0      0 12661988 321884 2498472    0    0     0     0  427  380 100  0  0  0  0
20  0      0 12661988 321884 2498476    0    0     0    24  407  361 100  0  0  0  0
19  0      0 12661988 321884 2498480    0    0     0     0  414  367 99  1  0  0  0
22  0      0 12664408 321884 2498480    0    0     0     0  422  374 100  0  0  0  0
19  0      0 12667592 321884 2498256    0    0     0     0  401  350 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 12667592 321884 2498256    0    0     0     0  399  355 100  0  0  0  0
14  0      0 12670632 321884 2498260    0    0     0    24  412  384 99  1  0  0  0
33  0      0 12673548 321884 2498264    0    0     0     0  426  370 100  0  0  0  0
34  0      0 12676716 321884 2498136    0    0     0     8  391  369 100  0  0  0  0
26  0      0 12674296 321884 2498144    0    0     0     0  426  366 99  1  0  0  0
26  0      0 12668340 321884 2498144    0    0     0     0  400  353 100  0  0  0  0
30  0      0 12658748 321884 2498408    0    0     0    36  425  374 100  0  0  0  0
17  0      0 12658748 321884 2498408    0    0     0     0  398  360 99  1  0  0  0
31  0      0 12658748 321884 2498412    0    0     0     0  397  353 100  0  0  0  0
23  0      0 12661540 321884 2498416    0    0     0     0  404  344 100  0  0  0  0
19  0      0 12664576 321884 2498300    0    0     0     0  429  373 100  0  0  0  0
29  0      0 12667616 321884 2498244    0    0     0     0  423  376 99  1  0  0  0
44  0      0 12667616 321884 2498240    0    0     0    24  430  391 99  1  0  0  0
35  0      0 12667616 321884 2498244    0    0     0    92  410  343 100  0  0  0  0
39  0      0 12665288 321884 2498244    0    0     0     0  407  360 100  0  0  0  0
46  0      0 12659308 321884 2498344    0    0     0     0  415  351 98  2  0  0  0
39  0      0 12654408 321884 2498724    0    0     0     0  391  361 100  0  0  0  0
20  0      0 12654284 321884 2498728    0    0     0    48  408  374 100  0  0  0  0
23  0      0 12654284 321884 2498732    0    0     0     0  399  354 100  0  0  0  0
36  0      0 12652236 321884 2498732    0    0     0     0  403  340 100  0  0  0  0
30  0      0 12655152 321884 2498736    0    0     0     0  390  347 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0      0 12655152 321884 2498740    0    0     0     0  416  364 100  0  0  0  0
19  0      0 12658352 321884 2498580    0    0     0    24  423  383 100  0  0  0  0
16  0      0 12661392 321884 2498508    0    0     0    28  424  344 100  0  0  0  0
20  0      0 12664308 321884 2498516    0    0     0     0  401  343 100  0  0  0  0
34  0      0 12664308 321884 2498516    0    0     0     0  420  374 99  1  0  0  0
29  0      0 12664060 321884 2498520    0    0     0     0  391  362 100  0  0  0  0
31  0      0 12664060 321884 2498520    0    0     0    24  407  361 100  0  0  0  0
24  0      0 12664432 321884 2498492    0    0     0     0  425  377 100  0  0  0  0
37  0      0 12667468 321884 2498352    0    0     0     0  384  352 100  0  0  0  0
25  0      0 12667468 321884 2498356    0    0     0     0  425  363 100  0  0  0  0
33  0      0 12667468 321884 2498360    0    0     0     0  390  360 99  1  0  0  0
30  0      0 12665048 321884 2498364    0    0     0    24  406  360 100  0  0  0  0
27  0      0 12665048 321884 2498368    0    0     0     8  411  364 100  0  0  0  0
27  0      0 12667468 321884 2498368    0    0     0     0  384  350 100  0  0  0  0
22  0      0 12667096 321884 2498372    0    0     0     0  416  372 100  0  0  0  0
23  0      0 12667096 321884 2498376    0    0     0     0  403  342 100  0  0  0  0
29  0      0 12665048 321884 2498376    0    0     0    36  403  354 100  0  0  0  0
21  0      0 12667468 321884 2498380    0    0     0     0  420  377 100  0  0  0  0
33  0      0 12670384 321884 2498380    0    0     0     0  398  348 100  0  0  0  0
29  0      0 12667964 321884 2498384    0    0     0     0  415  350 100  0  0  0  0
24  0      0 12662132 321884 2498384    0    0     0     0  401  353 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 12662132 321884 2498388    0    0     0    24  431  381 100  0  0  0  0
