procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 12830296 321884 2486084    0    0     0     1    2    0 57  0 43  0  0
 1  0      0 12827532 321884 2486072    0    0     0    96  341  505 78  2 20  0  0
 4  0      0 12815620 321884 2486348    0    0     0     0  231  197 57  0 43  0  0
14  0      0 12797828 321884 2487148    0    0     0     0  356  336 83  2 15  0  0
 1  0      0 12797580 321884 2487148    0    0     0     4  340  293 96  0  4  0  0
 0  0      0 12798076 321884 2487152    0    0     0     0  309  174 76  0 24  0  0
 3  0      0 12798572 321884 2487152    0    0     0    68  270  195 60  0 39  1  0
 1  0      0 12799236 321884 2486984    0    0     0     0  339  410 66  0 34  0  0
 1  0      0 12799236 321884 2486988    0    0     0     0  286  234 68  0 32  0  0
 2  0      0 12802276 321884 2486904    0    0     0    12  352  250 91  0  9  0  0
 2  0      0 12802276 321884 2486904    0    0     0     0  340  288 88  0 12  0  0
 0  0      0 12805316 321884 2486908    0    0     0    36  370  321 89  0 11  0  0
 5  0      0 12805996 321884 2486904    0    0     0     0  359  511 87  1 12  0  0
 4  0      0 12805996 321884 2486908    0    0     0     0  384  328 98  2  0  0  0
 2  0      0 12805996 321884 2486912    0    0     0     8  272  209 66  0 34  0  0
12  0      0 12799856 321884 2486912    0    0     0     0  398  379 94  0  6  0  0
 1  0      0 12798692 321884 2487000    0    0     0    96  346  286 89  0 11  0  0
 0  0      0 12798692 321884 2487000    0    0     0     0  301  197 76  0 24  0  0
 0  0      0 12799188 321884 2487000    0    0     0     0  252  178 60  1 39  0  0
 4  0      0 12802200 321884 2486908    0    0     0    44  247  214 49  0 51  0  0
 0  0      0 12802200 321884 2486908    0    0     0     0  327  220 82  0 18  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12805240 321884 2486860    0    0     0    32  240  202 50  1 49  0  0
 3  0      0 12805240 321884 2486864    0    0     0     0  283  215 63  0 37  0  0
 2  0      0 12808340 321884 2486860    0    0     0     0  300  389 67  2 31  0  0
11  0      0 12807968 321884 2486860    0    0     0     0  311  249 76  0 24  0  0
 4  0      0 12805920 321884 2486864    0    0     0     0  373  297 91  1  8  0  0
10  0      0 12802820 321884 2486868    0    0     0    88  388  353 98  0  2  0  0
 4  0      0 12802324 321884 2486868    0    0     0     0  370  300 95  0  5  0  0
 7  0      0 12802324 321884 2486876    0    0     0     0  306  233 80  0 20  0  0
 0  0      0 12802324 321884 2486876    0    0     0     0  344  263 86  0 14  0  0
 6  0      0 12799904 321884 2486876    0    0     0     8  317  277 78  0 22  0  0
 4  0      0 12799780 321884 2486880    0    0     0    36  229  179 47  0 53  0  0
 1  0      0 12802200 321884 2486880    0    0     0     0  366  259 91  1  8  0  0
 9  0      0 12805300 321884 2486876    0    0     0     0  381  516 97  1  2  0  0
 1  0      0 12805300 321884 2486880    0    0     0     0  364  296 90  1  9  0  0
 3  0      0 12808348 321884 2486828    0    0     0    60  343  251 79  1 20  0  0
 6  0      0 12808348 321884 2486832    0    0     0     0  331  272 84  1 15  0  0
 8  0      0 12808100 321884 2486832    0    0     0    80  342  257 88  0 12  0  0
 5  0      0 12799376 321884 2486908    0    0     0     0  388  397 100  0  0  0  0
 0  0      0 12799252 321884 2486912    0    0     0     0  319  204 79  0 21  0  0
 4  0      0 12799252 321884 2486912    0    0     0    16  321  245 79  0 21  0  0
 9  0      0 12799252 321884 2486916    0    0     0     0  372  333 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12802168 321884 2486916    0    0     0    84  280  221 64  0 36  0  0
 0  0      0 12805208 321884 2486920    0    0     0     0  254  171 55  0 45  0  0
 8  0      0 12804836 321884 2486924    0    0     0     0  352  294 94  0  6  0  0
 5  0      0 12802788 321884 2486924    0    0     0     0  323  260 79  1 20  0  0
 2  0      0 12802664 321884 2486924    0    0     0     0  314  220 77  0 23  0  0
 0  0      0 12802664 321884 2486928    0    0     0    24  322  236 78  0 22  0  0
 4  0      0 12802664 321884 2486928    0    0     0     0  281  173 74  0 26  0  0
 3  0      0 12802664 321884 2486928    0    0     0     0  286  186 67  0 33  0  0
 4  0      0 12802168 321884 2486932    0    0     0    52  306  214 76  0 24  0  0
 4  0      0 12802228 321884 2486928    0    0     0     0  323  429 77  1 22  0  0
 8  0      0 12801856 321884 2486928    0    0     0    80  384  358 99  1  0  0  0
10  0      0 12796832 321884 2486936    0    0     0     0  415  401 100  0  0  0  0
 3  0      0 12799128 321884 2486936    0    0     0     0  368  315 100  0  0  0  0
 5  0      0 12799128 321884 2486940    0    0     0     0  365  280 95  0  5  0  0
 8  0      0 12799128 321884 2486940    0    0     0     0  329  279 83  2 15  0  0
 0  0      0 12802168 321884 2486956    0    0     0    68  349  284 86  0 14  0  0
 0  0      0 12801796 321884 2486956    0    0     0     0  246  129 61  0 39  0  0
 1  0      0 12799748 321884 2486960    0    0     0     0  255  159 60  1 39  0  0
 1  0      0 12802164 321884 2486964    0    0     0     0  306  229 72  0 28  0  0
 9  0      0 12802168 321884 2486964    0    0     0     0  331  229 79  0 21  0  0
 9  0      0 12799748 321884 2486964    0    0     0    28  367  320 92  1  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12802028 321884 2486968    0    0     0     0  383  422 78  0 22  0  0
 1  0      0 12802044 321884 2486968    0    0     0     0  383  355 80  0 20  0  0
 5  0      0 12802044 321884 2486968    0    0     0     0  427  386 100  0  0  0  0
 5  0      0 12804896 321884 2486956    0    0     0     0  373  517 96  2  2  0  0
 8  0      0 12801792 321884 2487028    0    0     0    72  376  357 100  0  0  0  0
 9  0      0 12801668 321884 2487060    0    0     0     0  334  265 93  1  6  0  0
 7  0      0 12801516 321884 2487060    0    0     0     0  372  315 100  0  0  0  0
 4  0      0 12799496 321884 2487064    0    0     0   100  284  173 63  0 37  0  0
 9  0      0 12802104 321884 2487064    0    0     0     0  363  308 95  0  5  0  0
 2  0      0 12802164 321884 2487064    0    0     0    44  334  287 86  0 14  0  0
 2  0      0 12802164 321884 2487072    0    0     0     0  348  266 85  0 15  0  0
 2  0      0 12805020 321884 2487072    0    0     0     0  285  218 68  1 31  0  0
 1  0      0 12808196 321884 2486932    0    0     0     0  247  194 51  1 48  0  0
 7  0      0 12811156 321884 2486880    0    0     0     8  355  501 90  0 10  0  0
 3  0      0 12808752 321884 2486884    0    0     0    84  361  267 89  1 10  0  0
 0  0      0 12808628 321884 2486884    0    0     0     0  256  201 56  0 44  0  0
 2  0      0 12807884 321884 2486888    0    0     0     0  387  523 97  2  1  0  0
 4  0      0 12805836 321884 2486888    0    0     0     0  247  170 61  0 39  0  0
 4  0      0 12805836 321884 2486888    0    0     0    48  273  248 61  0 39  0  0
 1  0      0 12805836 321884 2486892    0    0     0    76  333  279 77  0 23  0  0
 6  0      0 12808252 321884 2486892    0    0     0     0  282  404 64  2 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 12808256 321884 2486892    0    0     0     0  347  291 93  0  7  0  0
 5  0      0 12808256 321884 2486896    0    0     0     0  371  332 100  0  0  0  0
 2  0      0 12808256 321884 2486896    0    0     0     4  351  294 92  0  8  0  0
 1  0      0 12808256 321884 2486900    0    0     0    68  249  168 58  1 39  2  0
 5  0      0 12808256 321884 2486904    0    0     0     0  337  237 92  0  8  0  0
 4  0      0 12811168 321884 2486904    0    0     0     0  301  202 75  1 24  0  0
 6  0      0 12811180 321884 2486896    0    0     0     0  368  329 97  0  3  0  0
 4  0      0 12811180 321884 2486896    0    0     0     0  368  303 90  0 10  0  0
 0  0      0 12810808 321884 2486900    0    0     0    24  333  269 84  0 16  0  0
 1  0      0 12808512 321884 2486900    0    0     0     0  234  350 43  2 55  0  0
 1  0      0 12808512 321884 2486900    0    0     0     0  360  287 97  0  3  0  0
 1  0      0 12808512 321884 2486904    0    0     0     0  366  313 94  0  6  0  0
 6  0      0 12811176 321884 2486904    0    0     0     0  314  478 72  1 27  0  0
 3  0      0 12810808 321884 2486904    0    0     0    68  378  348 100  0  0  0  0
 3  0      0 12808760 321884 2486904    0    0     0     0  176  132 37  0 63  0  0
 3  0      0 12805720 321884 2486908    0    0     0     0  299  200 76  0 24  0  0
 4  0      0 12805720 321884 2486908    0    0     0     0  340  262 89  1 10  0  0
 0  0      0 12805076 321884 2486912    0    0     0     8  368  297 98  0  2  0  0
 0  0      0 12805076 321884 2486948    0    0     0    32  301  224 75  0 25  0  0
 0  0      0 12802656 321884 2486952    0    0     0     0  174  134 36  1 63  0  0
 3  0      0 12805072 321884 2486952    0    0     0     0  319  229 83  0 17  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12808112 321884 2486956    0    0     0     0  354  309 79  0 21  0  0
 1  0      0 12811220 321884 2486888    0    0     0    76  343  306 74  1 25  0  0
 3  0      0 12811216 321884 2486884    0    0     0    36  356  606 71  2 27  0  0
 3  0      0 12810848 321884 2486884    0    0     0     0  309  229 80  0 20  0  0
 6  0      0 12808800 321884 2486884    0    0     0     0  320  201 80  0 20  0  0
 9  0      0 12808800 321884 2486888    0    0     0     0  327  259 85  0 15  0  0
 0  0      0 12808800 321884 2486888    0    0     0    48  360  312 88  1 11  0  0
 9  0      0 12808180 321884 2486888    0    0     0    76  296  227 73  1 26  0  0
 7  0      0 12804648 321884 2487028    0    0     0     0  371  346 100  0  0  0  0
 0  0      0 12802104 321884 2487052    0    0     0     0  318  211 83  0 17  0  0
 6  0      0 12802088 321884 2487056    0    0     0     0  375  279 97  0  3  0  0
