procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
39  0      0 12768604 321884 2493392    0    0     0     1    2    0 57  0 43  0  0
36  0      0 12765904 321884 2493384    0    0     0     0  390  355 100  0  0  0  0
13  0      0 12760164 321884 2493388    0    0     0     0  392  356 100  0  0  0  0
24  0      0 12748068 321884 2493672    0    0     0    40  346  346 100  0  0  0  0
33  0      0 12733592 321884 2494496    0    0     0     0  367  338 99  1  0  0  0
24  0      0 12733204 321884 2494532    0    0     0     0  354  355 100  0  0  0  0
12  0      0 12733588 321884 2494536    0    0     0    52  388  357 100  0  0  0  0
 8  0      0 12731652 321884 2494540    0    0     0     0  397  333 99  0  1  0  0
20  0      0 12734720 321884 2494332    0    0     0    32  371  351 99  1  0  0  0
16  0      0 12734744 321884 2494308    0    0     0     0  376  347 100  0  0  0  0
15  0      0 12734744 321884 2494308    0    0     0     0  366  332 100  0  0  0  0
14  0      0 12737656 321884 2494312    0    0     0    84  396  375 100  0  0  0  0
10  0      0 12740640 321884 2494312    0    0     0     0  399  366 100  0  0  0  0
15  0      0 12740700 321884 2494276    0    0     0    32  401  375 100  0  0  0  0
 8  0      0 12743776 321884 2494204    0    0     0     0  383  300 95  0  5  0  0
16  0      0 12743836 321884 2494148    0    0     0     0  366  342 100  0  0  0  0
22  0      0 12743588 321884 2494148    0    0     0     0  381  333 99  1  0  0  0
17  0      0 12741416 321884 2494148    0    0     0     0  370  364 100  0  0  0  0
12  0      0 12743832 321884 2494152    0    0     0     0  376  358 100  0  0  0  0
20  0      0 12743464 321884 2494148    0    0     0    24  375  368 100  0  0  0  0
13  0      0 12735452 321884 2494152    0    0     0     0  385  346 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 12735452 321884 2494176    0    0     0     4  376  359 99  1  0  0  0
15  0      0 12735452 321884 2494180    0    0     0     0  380  356 100  0  0  0  0
14  0      0 12737868 321884 2494180    0    0     0     0  354  344 100  0  0  0  0
 8  0      0 12737872 321884 2494184    0    0     0    24  384  359 100  0  0  0  0
 6  0      0 12737872 321884 2494184    0    0     0     0  386  323 98  0  2  0  0
 8  0      0 12737872 321884 2494188    0    0     0     8  371  315 97  0  3  0  0
 8  0      0 12740784 321884 2494188    0    0     0     0  361  343 99  1  0  0  0
13  0      0 12743748 321884 2494192    0    0     0     0  354  313 91  0  9  0  0
23  0      0 12743760 321884 2494128    0    0     0    36  393  375 99  1  0  0  0
23  0      0 12743760 321884 2494128    0    0     0     0  367  339 100  0  0  0  0
20  0      0 12743760 321884 2494132    0    0     0    12  390  377 100  0  0  0  0
13  0      0 12743512 321884 2494132    0    0     0     0  379  349 100  0  0  0  0
15  0      0 12737872 321884 2494140    0    0     0     0  408  348 99  1  0  0  0
 0  0      0 12735328 321884 2494208    0    0     0    44  347  308 80  0 20  0  0
12  0      0 12735328 321884 2494208    0    0     0     0  331  273 90  0 10  0  0
12  0      0 12737732 321884 2494208    0    0     0    64  382  356 100  0  0  0  0
24  0      0 12740784 321884 2494212    0    0     0     0  379  350 100  0  0  0  0
20  0      0 12740788 321884 2494212    0    0     0     0  359  339 100  0  0  0  0
 8  0      0 12740788 321884 2494216    0    0     0    32  382  345 100  0  0  0  0
 3  0      0 12740788 321884 2494216    0    0     0     0  391  321 99  1  0  0  0
24  0      0 12740788 321884 2494220    0    0     0     0  372  336 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 12740416 321884 2494220    0    0     0     0  373  346 100  0  0  0  0
24  0      0 12738368 321884 2494224    0    0     0     0  376  349 100  0  0  0  0
21  0      0 12738368 321884 2494228    0    0     0    24  382  362 99  1  0  0  0
 6  0      0 12738244 321884 2494228    0    0     0     0  382  345 100  0  0  0  0
17  0      0 12738244 321884 2494232    0    0     0     0  385  333 100  0  0  0  0
 8  0      0 12738244 321884 2494232    0    0     0    36  438  492 100  0  0  0  0
11  0      0 12740660 321884 2494236    0    0     0     0  408  356 99  1  0  0  0
 4  0      0 12743700 321884 2494236    0    0     0    24  386  347 90  0 10  0  0
15  0      0 12743704 321884 2494200    0    0     0     0  367  325 100  0  0  0  0
27  0      0 12743704 321884 2494200    0    0     0     0  373  343 100  0  0  0  0
26  0      0 12743456 321884 2494204    0    0     0     8  379  362 100  0  0  0  0
 8  0      0 12743456 321884 2494204    0    0     0     0  380  350 100  0  0  0  0
13  0      0 12741284 321884 2494208    0    0     0    36  385  351 99  1  0  0  0
 9  0      0 12740788 321884 2494208    0    0     0     0  393  349 99  1  0  0  0
12  0      0 12738368 321884 2494228    0    0     0     0  404  359 99  1  0  0  0
16  0      0 12737996 321884 2494228    0    0     0     4  395  347 100  0  0  0  0
 4  0      0 12734084 321884 2494396    0    0     0     0  393  304 97  1  2  0  0
 2  0      0 12733944 321884 2494456    0    0     0    24  288  253 73  1 26  0  0
12  0      0 12734440 321884 2494456    0    0     0     0  349  314 93  1  6  0  0
27  0      0 12737436 321884 2494456    0    0     0     0  374  364 100  0  0  0  0
21  0      0 12737496 321884 2494460    0    0     0     8  380  348 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 12737496 321884 2494460    0    0     0     0  372  342 99  1  0  0  0
12  0      0 12737496 321884 2494464    0    0     0    32  373  350 100  0  0  0  0
27  0      0 12737124 321884 2494468    0    0     0     0  376  334 100  0  0  0  0
20  0      0 12735076 321884 2494468    0    0     0     0  373  361 100  0  0  0  0
19  0      0 12734952 321884 2494472    0    0     0    60  367  345 99  1  0  0  0
22  0      0 12737492 321884 2494472    0    0     0     0  375  345 99  1  0  0  0
10  0      0 12737496 321884 2494476    0    0     0    32  373  357 100  0  0  0  0
15  0      0 12740576 321884 2494332    0    0     0     0  399  355 100  0  0  0  0
15  0      0 12740208 321884 2494312    0    0     0     0  394  370 100  0  0  0  0
 5  0      0 12738160 321884 2494316    0    0     0     0  405  328 97  0  3  0  0
23  0      0 12738160 321884 2494316    0    0     0     0  358  310 99  0  1  0  0
26  0      0 12738160 321884 2494316    0    0     0    24  386  357 100  0  0  0  0
20  0      0 12740576 321884 2494320    0    0     0     0  361  353 99  1  0  0  0
16  0      0 12740580 321884 2494320    0    0     0     0  383  357 100  0  0  0  0
14  0      0 12740580 321884 2494324    0    0     0     0  384  354 99  1  0  0  0
11  0      0 12740580 321884 2494328    0    0     0     0  378  338 100  0  0  0  0
22  0      0 12740580 321884 2494332    0    0     0    24  359  344 100  0  0  0  0
 4  0      0 12743696 321884 2494264    0    0     0     0  409  356 100  0  0  0  0
 4  0      0 12743744 321884 2494224    0    0     0     0  411  323 100  0  0  0  0
12  0      0 12743744 321884 2494228    0    0     0     0  391  322 98  1  1  0  0
17  0      0 12743744 321884 2494228    0    0     0    32  389  364 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 12743372 321884 2494228    0    0     0     0  364  332 100  0  0  0  0
16  0      0 12740300 321884 2494304    0    0     0    36  383  364 99  1  0  0  0
13  0      0 12733368 321884 2494656    0    0     0     0  391  362 100  0  0  0  0
13  0      0 12732720 321884 2494716    0    0     0     0  378  351 100  0  0  0  0
 0  0      0 12733068 321884 2494720    0    0     0     8  377  300 91  0  9  0  0
 4  0      0 12731236 321884 2494724    0    0     0     0  292  214 71  1 28  0  0
15  0      0 12734348 321884 2494580    0    0     0    36  402  373 98  1  1  0  0
17  0      0 12737484 321884 2494492    0    0     0     0  382  372 100  0  0  0  0
20  0      0 12740456 321884 2494484    0    0     0     0  379  336 100  0  0  0  0
16  0      0 12740460 321884 2494488    0    0     0     8  393  358 100  0  0  0  0
10  0      0 12740460 321884 2494488    0    0     0     0  368  348 100  0  0  0  0
14  0      0 12740088 321884 2494492    0    0     0    32  379  351 100  0  0  0  0
20  0      0 12740088 321884 2494492    0    0     0     0  382  355 99  1  0  0  0
20  0      0 12737792 321884 2494492    0    0     0     0  352  338 100  0  0  0  0
21  0      0 12737392 321884 2494496    0    0     0    64  388  365 100  0  0  0  0
16  0      0 12740400 321884 2494496    0    0     0     0  388  355 100  0  0  0  0
 9  0      0 12740460 321884 2494500    0    0     0    32  416  362 100  0  0  0  0
14  0      0 12740088 321884 2494504    0    0     0     0  371  318 96  0  4  0  0
 8  0      0 12738040 321884 2494504    0    0     0     0  385  350 100  0  0  0  0
20  0      0 12738040 321884 2494504    0    0     0     0  371  357 100  0  0  0  0
30  0      0 12738040 321884 2494508    0    0     0     0  379  349 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 12738040 321884 2494508    0    0     0    24  363  357 100  0  0  0  0
18  0      0 12738040 321884 2494512    0    0     0     0  391  357 100  0  0  0  0
24  0      0 12737916 321884 2494512    0    0     0     0  383  355 100  0  0  0  0
28  0      0 12737916 321884 2494516    0    0     0     0  353  332 99  1  0  0  0
15  0      0 12735000 321884 2494516    0    0     0     0  372  358 100  0  0  0  0
12  0      0 12735000 321884 2494524    0    0     0    24  394  340 96  0  4  0  0
 9  0      0 12737420 321884 2494524    0    0     0     0  366  331 99  1  0  0  0
14  0      0 12740516 321884 2494436    0    0     0     0  380  326 98  0  2  0  0
 9  0      0 12738096 321884 2494436    0    0     0     0  360  351 100  0  0  0  0
 9  0      0 12732100 321884 2494476    0    0     0     0  398  358 100  0  0  0  0
18  0      0 12734520 321884 2494480    0    0     0    24  371  354 99  1  0  0  0
23  0      0 12734520 321884 2494480    0    0     0     0  370  354 99  1  0  0  0
13  0      0 12734520 321884 2494484    0    0     0     0  387  361 100  0  0  0  0
22  0      0 12737436 321884 2494484    0    0     0    40  383  348 99  1  0  0  0
25  0      0 12737436 321884 2494488    0    0     0     0  376  358 100  0  0  0  0
 8  0      0 12737188 321884 2494488    0    0     0    36  402  370 99  1  0  0  0
 6  0      0 12735140 321884 2494492    0    0     0     0  375  319 93  0  7  0  0
16  0      0 12735140 321884 2494496    0    0     0     0  368  340 100  0  0  0  0
20  0      0 12735140 321884 2494500    0    0     0     0  361  343 100  0  0  0  0
17  0      0 12735140 321884 2494500    0    0     0     4  379  347 100  0  0  0  0
23  0      0 12737436 321884 2494500    0    0     0    24  380  376 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0      0 12740572 321884 2494368    0    0     0     0  370  346 99  1  0  0  0
21  0      0 12740200 321884 2494368    0    0     0     0  353  352 100  0  0  0  0
13  0      0 12738028 321884 2494372    0    0     0     0  383  337 100  0  0  0  0
12  0      0 12737624 321884 2494416    0    0     0    60  360  352 100  0  0  0  0
 4  0      0 12735080 321884 2494420    0    0     0    32  368  321 89  1  8  2  0
 9  0      0 12735080 321884 2494420    0    0     0     0  359  336 100  0  0  0  0
10  0      0 12735080 321884 2494428    0    0     0     0  382  358 100  0  0  0  0
