procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 12874296 321880 2484020    0    0     0     1    2    0 57  0 43  0  0
 1  0      0 12871596 321880 2484016    0    0     0     0  161  124 28  1 71  0  0
 1  0      0 12865764 321880 2484016    0    0     0     0  181  123 42  0 58  0  0
 1  0      0 12853520 321880 2484376    0    0     0     0  235  189 61  0 39  0  0
 0  0      0 12846148 321880 2485164    0    0     0     0  227  164 51  1 48  0  0
 1  0      0 12846008 321880 2485188    0    0     0     0  193  133 44  0 56  0  0
 1  0      0 12844472 321880 2485192    0    0     0    40  245  170 56  1 43  0  0
 0  0      0 12837584 321880 2485192    0    0     0     0  297  223 72  0 28  0  0
 0  0      0 12840404 321880 2485048    0    0     0     0  182  139 35  0 65  0  0
 2  0      0 12843408 321880 2484948    0    0     0    16  221  201 47  1 52  0  0
 0  0      0 12843468 321880 2484940    0    0     0     0  237  138 53  1 46  0  0
 0  0      0 12843468 321880 2484940    0    0     0    44  187  140 41  0 57  2  0
 0  0      0 12846380 321880 2484940    0    0     0     0  221  171 46  0 54  0  0
 2  0      0 12849512 321880 2484856    0    0     0     0  168  142 35  0 65  0  0
 1  0      0 12849552 321880 2484808    0    0     0     0  238  153 54  0 46  0  0
 0  0      0 12849180 321880 2484812    0    0     0    36  178  135 38  1 61  0  0
 1  0      0 12849180 321880 2484812    0    0     0    40  246  170 54  0 44  2  0
 1  0      0 12849548 321880 2484812    0    0     0     0  245  137 61  1 38  0  0
 0  0      0 12849552 321880 2484812    0    0     0     0  185  121 41  0 59  0  0
 0  0      0 12849180 321880 2484816    0    0     0     0  187  153 35  0 65  0  0
 0  0      0 12849180 321880 2484816    0    0     0     0  329  204 86  0 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12849180 321880 2484816    0    0     0    24  162  122 35  0 63  2  0
 0  0      0 12847008 321880 2484816    0    0     0     0  269  153 66  0 34  0  0
 3  0      0 12849412 321880 2484820    0    0     0     0  204  142 43  1 56  0  0
 2  0      0 12849444 321880 2484804    0    0     0     0  232  162 52  0 48  0  0
 3  0      0 12849444 321880 2484804    0    0     0     0  218  146 50  0 50  0  0
 2  0      0 12849444 321880 2484804    0    0     0    24  235  151 57  0 43  0  0
 1  0      0 12849444 321880 2484808    0    0     0     0  226  145 53  0 47  0  0
 0  0      0 12849196 321880 2484812    0    0     0     0  192  128 41  0 59  0  0
 0  0      0 12849196 321880 2484812    0    0     0     0  113  105 20  0 80  0  0
 1  0      0 12847148 321880 2484812    0    0     0    80  158  132 21  1 78  0  0
 6  0      0 12849564 321880 2484812    0    0     0    36  207  153 45  0 53  2  0
 0  0      0 12852548 321880 2484760    0    0     0     0  326  229 81  0 19  0  0
 2  0      0 12850188 321880 2484708    0    0     0     0  189  145 40  1 59  0  0
 0  0      0 12850188 321880 2484708    0    0     0     0  227  151 51  0 49  0  0
 0  0      0 12850188 321880 2484708    0    0     0     4  199  140 45  0 55  0  0
 1  0      0 12850188 321880 2484708    0    0     0    32  166  130 33  0 67  0  0
 0  0      0 12850188 321880 2484708    0    0     0     0  250  182 57  1 42  0  0
 3  0      0 12850064 321880 2484712    0    0     0     0  283  164 67  1 32  0  0
 1  0      0 12850064 321880 2484712    0    0     0     0  230  162 58  0 42  0  0
 1  0      0 12850064 321880 2484716    0    0     0     8  208  147 45  1 54  0  0
 1  0      0 12850064 321880 2484716    0    0     0    36  170  133 32  0 66  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12850064 321880 2484720    0    0     0     0  266  175 66  0 34  0  0
 0  0      0 12850064 321880 2484724    0    0     0     0  125  105 24  0 76  0  0
 0  0      0 12852488 321880 2484724    0    0     0     0  202  137 41  0 59  0  0
 2  0      0 12852492 321880 2484708    0    0     0    36  161  149 26  0 74  0  0
 1  0      0 12855528 321880 2484708    0    0     0    40  242  171 55  0 45  0  0
 0  0      0 12855532 321880 2484712    0    0     0     0  226  153 51  0 49  0  0
 1  0      0 12853112 321880 2484712    0    0     0     0  233  163 53  0 47  0  0
 0  0      0 12849700 321880 2484712    0    0     0     0  215  186 48  1 51  0  0
 0  0      0 12849548 321880 2484712    0    0     0     0  244  200 56  0 44  0  0
 0  0      0 12849576 321880 2484716    0    0     0     0  129  120 26  0 74  0  0
 3  0      0 12852556 321880 2484716    0    0     0    24  195  142 39  1 58  2  0
 3  0      0 12852616 321880 2484716    0    0     0     0  288  190 72  0 28  0  0
 4  0      0 12852244 321880 2484716    0    0     0     0  227  163 53  0 47  0  0
 0  0      0 12852244 321880 2484716    0    0     0     0  205  141 48  0 52  0  0
 0  0      0 12852476 321880 2484720    0    0     0     0  296  228 70  1 29  0  0
 3  0      0 12852244 321880 2484720    0    0     0    24  197  165 44  0 55  1  0
 1  0      0 12850196 321880 2484720    0    0     0     0  198  139 40  0 60  0  0
 0  0      0 12850196 321880 2484720    0    0     0     0  227  142 53  0 47  0  0
 2  0      0 12850196 321880 2484724    0    0     0     0  146  111 29  1 70  0  0
 1  0      0 12850196 321880 2484724    0    0     0     0  126  118 25  0 75  0  0
 1  0      0 12852612 321880 2484724    0    0     0    24  203  162 39  0 59  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12852616 321880 2484720    0    0     0     0  258  189 64  0 36  0  0
 1  0      0 12855528 321880 2484720    0    0     0     0  184  143 36  0 64  0  0
 1  0      0 12855532 321880 2484720    0    0     0     0  213  147 48  0 52  0  0
 0  0      0 12855532 321880 2484724    0    0     0    48  178  126 34  0 66  0  0
 1  0      0 12853236 321880 2484724    0    0     0    32  247  173 56  1 43  0  0
 0  0      0 12852120 321880 2484724    0    0     0     0  205  154 43  0 57  0  0
 0  0      0 12852104 321880 2484724    0    0     0     0  223  175 52  0 48  0  0
 1  0      0 12852600 321880 2484728    0    0     0     0  165  133 28  0 72  0  0
 0  0      0 12852616 321880 2484728    0    0     0     4  152  137 27  1 72  0  0
 0  0      0 12855528 321880 2484732    0    0     0    24  176  149 30  0 69  1  0
 0  0      0 12855532 321880 2484732    0    0     0     0  279  185 71  0 29  0  0
 0  0      0 12855532 321880 2484732    0    0     0     0  287  191 71  0 29  0  0
 7  0      0 12853112 321880 2484736    0    0     0     0  249  334 47  0 53  0  0
 0  0      0 12852120 321880 2484736    0    0     0    36  211  182 43  1 56  0  0
 1  0      0 12852120 321880 2484736    0    0     0    32  214  146 50  0 50  0  0
 1  0      0 12852120 321880 2484736    0    0     0     0  142  118 24  0 76  0  0
 3  0      0 12849684 321880 2484736    0    0     0     0  212  154 46  1 53  0  0
 0  0      0 12849700 321880 2484740    0    0     0     0  203  142 42  0 58  0  0
 0  0      0 12849700 321880 2484740    0    0     0     0  176  134 41  0 59  0  0
 1  0      0 12849700 321880 2484740    0    0     0    24  232  158 50  0 49  2  0
 2  0      0 12849328 321880 2484740    0    0     0     0  242  171 58  0 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12849328 321880 2484740    0    0     0     0  249  139 59  0 41  0  0
 0  0      0 12849572 321880 2484748    0    0     0     0  219  176 45  0 55  0  0
 6  0      0 12849584 321880 2484740    0    0     0     0  282  201 73  0 27  0  0
 3  0      0 12849616 321880 2484708    0    0     0    24  256  167 55  0 45  0  0
 0  0      0 12849244 321880 2484716    0    0     0     0  316  201 79  0 21  0  0
 1  0      0 12849608 321880 2484716    0    0     0     0  200  498 37  4 59  0  0
 0  0      0 12849616 321880 2484716    0    0     0     0  175  126 34  1 65  0  0
 0  0      0 12849616 321880 2484716    0    0     0     0  116  118 21  0 79  0  0
 1  0      0 12849492 321880 2484716    0    0     0    56  262  211 60  0 38  2  0
 0  0      0 12849492 321880 2484724    0    0     0     0  262  179 60  1 39  0  0
 0  0      0 12852472 321880 2484724    0    0     0     0  199  159 40  1 59  0  0
 2  0      0 12852532 321880 2484724    0    0     0     0  209  171 48  0 52  0  0
 7  0      0 12852532 321880 2484724    0    0     0     0  334  236 87  0 13  0  0
 2  0      0 12852160 321880 2484728    0    0     0    24  297  251 75  0 23  2  0
 1  0      0 12852160 321880 2484728    0    0     0     0  125  115 24  0 76  0  0
 1  0      0 12850112 321880 2484728    0    0     0     0  224  156 48  0 52  0  0
 0  0      0 12850112 321880 2484728    0    0     0     0  229  128 52  0 48  0  0
 1  0      0 12849616 321880 2484732    0    0     0     0  232  138 55  0 45  0  0
 2  0      0 12849464 321880 2484732    0    0     0   100  273  196 58  0 39  3  0
 0  0      0 12847196 321880 2484732    0    0     0     0  309  224 74  1 25  0  0
 1  0      0 12847196 321880 2484732    0    0     0     0  175  126 34  0 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12847196 321880 2484736    0    0     0     0  139  117 26  0 74  0  0
 0  0      0 12847196 321880 2484736    0    0     0     0  224  149 51  0 49  0  0
 0  0      0 12847072 321880 2484736    0    0     0    80  204  156 46  0 52  2  0
 1  0      0 12849488 321880 2484736    0    0     0     0  231  179 50  0 50  0  0
 0  0      0 12849492 321880 2484736    0    0     0     0  195  159 42  0 58  0  0
 1  0      0 12849492 321880 2484736    0    0     0     0  161  118 31  0 69  0  0
 0  0      0 12849120 321880 2484740    0    0     0     0  278  221 70  0 30  0  0
 1  0      0 12847072 321880 2484740    0    0     0     0  203  138 42  0 58  0  0
 0  0      0 12849488 321880 2484740    0    0     0    24  169  161 34  0 66  0  0
 1  0      0 12849492 321880 2484740    0    0     0     0  292  188 70  0 30  0  0
 0  0      0 12849492 321880 2484748    0    0     0     0  156  127 31  1 68  0  0
 5  0      0 12849492 321880 2484748    0    0     0     0  174  127 31  0 69  0  0
 1  0      0 12852392 321880 2484748    0    0     0     0  282  209 74  0 26  0  0
 0  0      0 12852416 321880 2484736    0    0     0    24  201  146 41  1 57  1  0
 3  0      0 12850120 321880 2484736    0    0     0     0  148  155 25  0 75  0  0
 0  0      0 12850120 321880 2484740    0    0     0     0  263  145 61  0 39  0  0
 1  0      0 12850120 321880 2484740    0    0     0     0  227  122 57  0 43  0  0
 0  0      0 12850120 321880 2484740    0    0     0     8  181  114 38  0 62  0  0
 0  0      0 12850120 321880 2484740    0    0     0    24  225  149 51  0 49  0  0
 1  0      0 12852400 321880 2484740    0    0     0     0  218  151 50  0 50  0  0
 0  0      0 12852168 321880 2484740    0    0     0     0  261  166 62  0 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12852388 321880 2484740    0    0     0     0  237  168 52  0 48  0  0
 0  0      0 12852416 321880 2484740    0    0     0     0  250  184 59  0 41  0  0
 0  0      0 12852168 321880 2484744    0    0     0    24  160  122 30  0 68  2  0
 2  0      0 12850120 321880 2484744    0    0     0     0  289  203 70  0 30  0  0
 1  0      0 12850120 321880 2484748    0    0     0     0  150  126 25  0 75  0  0
 1  0      0 12847080 321880 2484748    0    0     0     0  256  181 61  0 39  0  0
 0  0      0 12847080 321880 2484748    0    0     0    28  194  115 42  0 58  0  0
 0  0      0 12847080 321880 2484756    0    0     0    24  282  195 71  0 27  2  0
 0  0      0 12847080 321880 2484756    0    0     0     0  212  145 44  0 56  0  0
 1  0      0 12849496 321880 2484756    0    0     0     0  156  122 29  1 70  0  0
 0  0      0 12849128 321880 2484756    0    0     0     0  198  127 43  0 57  0  0
 0  0      0 12849128 321880 2484756    0    0     0    48  158  122 30  0 70  0  0
 0  0      0 12847080 321880 2484760    0    0     0    48  226  140 45  1 51  3  0
 0  0      0 12849496 321880 2484760    0    0     0     0  157  153 26  0 74  0  0
 1  0      0 12852400 321880 2484752    0    0     0     0  213  160 41  0 59  0  0
 3  0      0 12852416 321880 2484752    0    0     0     0  198  140 45  0 55  0  0
