procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12865304 321880 2484068    0    0     0     0  183  140 40  0 60  0  0
 1  0      0 12865164 321880 2484068    0    0     0     0  211  157 50  0 50  0  0
 1  0      0 12865180 321880 2484072    0    0     0    24  181  127 41  0 59  0  0
 0  0      0 12865180 321880 2484076    0    0     0    32  105  109 17  0 81  2  0
 0  0      0 12865180 321880 2484076    0    0     0     0  164  129 30  0 70  0  0
 0  0      0 12865180 321880 2484076    0    0     0     0  257  164 61  0 39  0  0
 0  0      0 12865180 321880 2484076    0    0     0     0  124  117 20  0 80  0  0
 0  0      0 12865180 321880 2484076    0    0     0     0  157  119 31  0 69  0  0
 1  0      0 12865180 321880 2484076    0    0     0    48  253  178 55  0 45  0  0
 1  0      0 12864808 321880 2484080    0    0     0     0  244  571 45  6 50  0  0
 0  0      0 12864808 321880 2484080    0    0     0     0  154  128 24  0 76  0  0
 0  0      0 12865164 321880 2484080    0    0     0     0  124  118 20  0 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12865180 321880 2484080    0    0     0     0  186  142 35  0 65  0  0
 0  0      0 12867968 321880 2484080    0    0     0    72  134  135 20  1 77  2  0
 1  0      0 12871008 321880 2484080    0    0     0     0  158  133 27  0 73  0  0
 1  0      0 12871020 321880 2484072    0    0     0     0  248  148 59  0 41  0  0
 1  0      0 12868600 321880 2484076    0    0     0     0  202  137 42  0 58  0  0
 1  0      0 12865064 321880 2484080    0    0     0     0  104  113 20  0 80  0  0
 0  0      0 12865064 321880 2484080    0    0     0    24  219  148 49  0 50  2  0
 1  0      0 12865064 321880 2484080    0    0     0     0  154  115 31  0 69  0  0
 0  0      0 12862644 321880 2484080    0    0     0     0  176  131 34  1 65  0  0
 1  0      0 12865184 321880 2484084    0    0     0     0  230  389 50  2 49  0  0
 2  0      0 12865188 321880 2484084    0    0     0     0  246  192 58  0 42  0  0
 0  0      0 12865188 321880 2484084    0    0     0    88  150  131 29  0 69  2  0
 0  0      0 12865188 321880 2484084    0    0     0     0  189  340 33  1 66  0  0
 0  0      0 12865188 321880 2484084    0    0     0     0  157  324 23  2 75  0  0
 1  0      0 12865188 321880 2484084    0    0     0     0  129  109 25  1 74  0  0
 0  0      0 12865188 321880 2484084    0    0     0     0  169  128 35  0 65  0  0
 3  0      0 12865064 321880 2484092    0    0     0    88  195  148 42  0 55  3  0
 0  0      0 12868100 321880 2484092    0    0     0     0  177  138 35  0 65  0  0
 0  0      0 12867872 321880 2484076    0    0     0     0  273  189 64  2 34  0  0
 1  0      0 12864684 321880 2484076    0    0     0     0  183  121 42  0 58  0  0
 1  0      0 12864684 321880 2484120    0    0     0     0  214  134 52  0 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12864684 321880 2484120    0    0     0    48  161  122 34  0 65  1  0
 0  0      0 12864684 321880 2484120    0    0     0     0  165  121 33  0 67  0  0
 0  0      0 12864668 321880 2484120    0    0     0     0  165  128 36  0 64  0  0
 1  0      0 12864684 321880 2484120    0    0     0     0  138  106 26  0 74  0  0
 3  0      0 12862016 321880 2484120    0    0     0     0  208  141 52  0 48  0  0
 1  0      0 12865180 321880 2484124    0    0     0   124  193  154 30  0 68  2  0
 2  0      0 12865180 321880 2484124    0    0     0     0  167  148 38  0 62  0  0
 1  0      0 12868096 321880 2484124    0    0     0     0  147  124 22  1 77  0  0
 1  0      0 12868096 321880 2484124    0    0     0     0  163  110 38  1 61  0  0
 0  0      0 12868096 321880 2484124    0    0     0     0  207  129 42  0 58  0  0
 0  0      0 12868096 321880 2484124    0    0     0    28  151  126 30  0 68  2  0
