procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 13600292 281108 1704624    0    0     0     0    0    0 58  0 42  0  0
22  0      0 13603156 281108 1704640    0    0     0     0 1866  885 98  2  0  0  0
20  0      0 13606312 281108 1704392    0    0     0     0 1840  975 98  1  1  0  0
 9  0      0 13609272 281108 1704356    0    0     0     0 1864  974 99  1  0  0  0
21  0      0 13612332 281108 1704352    0    0     0     0 1794  984 98  2  0  0  0
21  0      0 13615380 281108 1704276    0    0     0    40 1832  990 99  0  1  0  0
20  0      0 13618428 281108 1704236    0    0     0     0 1804  966 98  2  0  0  0
20  0      0 13621700 281108 1704016    0    0     0     0 1847  978 97  2  1  0  0
21  0      0 13624620 281108 1703992    0    0     0     0 1862  963 100  0  0  0  0
 2  0      0 13627680 281108 1703920    0    0     0     0 1895 1050 97  2  1  0  0
21  0      0 13630768 281108 1703864    0    0     0    24 1760 1017 96  3  1  0  0
21  0      0 13634032 281108 1703556    0    0     0     0 1847  981 98  1  1  0  0
 1  0      0 13637080 281108 1703520    0    0     0     0 1860 1136 83  4 13  0  0
 1  0      0 13639992 281108 1703512    0    0     0     0 1820 1241 74  3 23  0  0
12  0      0 13643060 281108 1703500    0    0     0     8 1800 1141 81  4 16  0  0
20  0      0 13646184 281108 1703280    0    0     0    32 1824 1007 98  1  1  0  0
16  0      0 13649224 281108 1703192    0    0     0     0 1843  994 97  3  0  0  0
16  0      0 13652304 281108 1703152    0    0     0     0 1804  983 99  0  1  0  0
20  0      0 13655216 281108 1703148    0    0     0     0 1824  984 98  2  0  0  0
 1  0      0 13658500 281108 1702840    0    0     0   424 1872 1017 97  2  1  0  0
18  0      0 13661476 281108 1702844    0    0     0    32 1757 1112 87  1 12  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 13664660 281108 1702704    0    0     0     0 1833  978 99  0  1  0  0
18  0      0 13667792 281108 1702432    0    0     0     0 1854 1006 97  3  0  0  0
 1  0      0 13670916 281108 1702436    0    0     0     0 1884 1136 84  2 14  0  0
18  0      0 13673968 281108 1702268    0    0     0     0 1758 1042 93  2  5  0  0
19  0      0 13677072 281108 1702236    0    0     0    24 1842  988 98  2  0  0  0
20  0      0 13679984 281108 1702228    0    0     0     0 1842  993 98  2  0  0  0
18  0      0 13683160 281108 1702092    0    0     0     0 1821  995 98  1  1  0  0
18  0      0 13686312 281108 1701892    0    0     0     0 1823 1014 98  1  1  0  0
 1  0      0 13689364 281108 1701832    0    0     0     0 1885 1201 81  1 18  0  0
 2  0      0 13692316 281108 1701848    0    0     0   120 1798 1109 95  0  5  0  0
14  0      0 13695368 281108 1701856    0    0     0     0 1751 1043 92  2  6  0  0
16  0      0 13698776 281108 1701424    0    0     0     0 1839 1009 97  2  1  0  0
17  0      0 13701692 281108 1701412    0    0     0     0 1874 1012 99  1  0  0  0
17  0      0 13704776 281108 1701280    0    0     0     0 1843  998 97  2  1  0  0
17  0      0 13707888 281108 1701260    0    0     0    36 1892 1010 97  2  1  0  0
18  0      0 13710800 281108 1701256    0    0     0     0 1843  988 100  0  0  0  0
18  0      0 13714144 281108 1700980    0    0     0     0 1822  989 97  2  1  0  0
17  0      0 13717204 281108 1700788    0    0     0     0 1829 1012 97  3  0  0  0
18  0      0 13720260 281108 1700800    0    0     0     0 1859  991 99  0  1  0  0
16  0      0 13723172 281108 1700792    0    0     0    24 1862 1027 98  1  1  0  0
 2  0      0 13726256 281108 1700760    0    0     0     0 1875 1090 95  2  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13729200 281108 1700720    0    0     0     0 1837 1218 76  2 22  0  0
 0  0      0 13732484 281108 1700488    0    0     0     0 1861 1229 75  2 23  0  0
 0  0      0 13735548 281108 1700304    0    0     0     0 1828 1217 74  4 22  0  0
 1  0      0 13738628 281108 1700312    0    0     0    24 1849 1172 79  3 18  0  0
13  0      0 13741580 281108 1700260    0    0     0     0 1804 1060 90  5  5  0  0
11  0      0 13744716 281108 1700040    0    0     0     0 1854 1023 96  3  1  0  0
17  0      0 13748036 281108 1699772    0    0     0     0 1812 1003 99  0  1  0  0
10  0      0 13751112 281108 1699664    0    0     0     0 1874  997 98  2  0  0  0
17  0      0 13754208 281108 1699508    0    0     0   460 1830 1027 97  2  1  0  0
17  0      0 13757320 281108 1699480    0    0     0     0 1857 1022 98  1  1  0  0
16  0      0 13760452 281108 1699184    0    0     0     0 1845 1020 99  1  0  0  0
16  0      0 13763564 281108 1699192    0    0     0     0 1840 1004 97  2  1  0  0
13  0      0 13766492 281108 1699164    0    0     0     0 1818 1014 99  1  0  0  0
15  0      0 13769592 281108 1699116    0    0     0    24 1852 1024 99  0  1  0  0
