procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13891272 281104 1655016    0    0     0     0    2    0 58  0 42  0  0
 1  0      0 13891328 281104 1655028    0    0     0     0  813  505 35  2 63  0  0
 1  0      0 13891328 281104 1655032    0    0     0     0  798  493 25  3 72  0  0
 1  0      0 13891328 281104 1655036    0    0     0     0  801  499 29  2 69  0  0
 0  1      0 13891328 281104 1655044    0    0     0    40  830  508 39  0 61  0  0
 0  0      0 13891328 281104 1655048    0    0     0     4  820  510 39  0 60  1  0
 0  0      0 13891328 281104 1655052    0    0     0     0  820  490 39  0 61  0  0
 1  0      0 13891328 281104 1655056    0    0     0     0  829  500 39  0 61  0  0
 0  0      0 13891328 281104 1655064    0    0     0     0  832  495 39  0 61  0  0
 0  0      0 13891328 281104 1655068    0    0     0    84  823  503 29  2 69  0  0
 0  0      0 13891328 281104 1655072    0    0     0    68  794  512 24  2 72  2  0
 0  0      0 13891328 281104 1655076    0    0     0     0  811  490 36  2 62  0  0
 0  0      0 13891328 281104 1655080    0    0     0     0  824  498 39  0 61  0  0
 0  0      0 13891328 281104 1655088    0    0     0     0  835  502 38  1 61  0  0
 0  0      0 13891328 281104 1655092    0    0     0   152  829  502 39  0 61  0  0
 0  0      0 13891328 281104 1655100    0    0     0    36  815  504 38  0 60  2  0
 0  0      0 13891328 281104 1655104    0    0     0     0  818  498 39  0 61  0  0
 0  0      0 13891328 281104 1655108    0    0     0     0  830  500 39  0 61  0  0
 0  0      0 13891328 281104 1655116    0    0     0     0  834  496 40  0 60  0  0
 0  0      0 13891328 281104 1655120    0    0     0     4  817  493 39  0 61  0  0
 0  0      0 13891328 281104 1655124    0    0     0    24  828  506 32  0 66  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13891328 281104 1655128    0    0     0     0  775  498 24  3 72  0  0
 0  0      0 13891328 281104 1655136    0    0     0     0  804  491 29  1 70  0  0
 0  0      0 13891328 281104 1655140    0    0     0     0  827  492 39  0 61  0  0
 0  0      0 13891328 281104 1655144    0    0     0     0  830  502 39  0 61  0  0
 0  0      0 13891328 281104 1655148    0    0     0    24  814  509 38  1 60  1  0
 0  0      0 13891328 281104 1655152    0    0     0     0  831  493 39  0 61  0  0
 0  0      0 13891328 281104 1655164    0    0     0     0  829  504 39  0 61  0  0
 0  0      0 13891328 281104 1655168    0    0     0     0  829  499 39  0 61  0  0
 1  0      0 13891328 281104 1655172    0    0     0     0  782  494 25  2 72  0  0
 0  0      0 13891328 281104 1655176    0    0     0    32  785  508 25  2 70  2  0
 0  0      0 13891328 281104 1655184    0    0     0     0  809  487 33  1 66  0  0
 0  0      0 13891328 281104 1655188    0    0     0     0  835  494 39  0 61  0  0
 0  0      0 13891328 281104 1655192    0    0     0     0  820  497 39  0 61  0  0
 0  0      0 13891328 281104 1655196    0    0     0     0  838  495 39  0 61  0  0
 0  0      0 13891204 281104 1655200    0    0     0    40  838  511 39  0 59  2  0
 0  0      0 13891204 281104 1655208    0    0     0     0  835  499 38  1 61  0  0
 0  0      0 13891204 281104 1655212    0    0     0     0  802  512 35  1 64  0  0
 0  0      0 13891204 281104 1655216    0    0     0     0  789  498 23  3 73  0  0
 1  0      0 13891204 281104 1655220    0    0     0     0  781  486 26  1 72  0  0
 0  0      0 13891204 281104 1655228    0    0     0   112  844  505 38  1 59  2  0
 0  0      0 13891204 281104 1655232    0    0     0     0  812  494 39  0 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13891204 281104 1655236    0    0     0     0  831  494 39  0 61  0  0
 0  0      0 13891204 281104 1655244    0    0     0     0  837  500 39  0 61  0  0
 0  0      0 13891204 281104 1655248    0    0     0     0  839  503 39  0 61  0  0
 0  0      0 13891204 281104 1655256    0    0     0   180  835  513 39  0 59  2  0
 0  0      0 13891204 281104 1655260    0    0     0     0  800  490 29  3 68  0  0
 0  0      0 13891204 281104 1655264    0    0     0     4  789  512 24  2 73  0  0
 0  0      0 13891204 281104 1655268    0    0     0     0  803  493 30  1 68  0  0
 0  0      0 13891204 281104 1655276    0    0     0     0  837  499 38  1 62  0  0
 1  0      0 13891204 281104 1655280    0    0     0    72  826  514 39  0 59  2  0
 0  0      0 13891204 281104 1655284    0    0     0     0  824  491 39  0 61  0  0
 0  0      0 13891204 281104 1655288    0    0     0     0  837  500 39  0 61  0  0
 0  0      0 13891204 281104 1655292    0    0     0     0  863  659 40  0 60  0  0
 0  0      0 13891204 281104 1655300    0    0     0     0  831  490 38  1 62  0  0
