procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
79  0      0 13095944 281108 1714676    0    0     0     0    0    0 58  0 42  0  0
238  0      0 13093340 281108 1714720    0    0     0     0 1922  534 100  0  0  0  0
234  0      0 13087376 281108 1714812    0    0     0     0 2120  565 98  2  0  0  0
179  0      0 13086912 281108 1714852    0    0     0    88 1828  686 100  0  0  0  0
243  0      0 13086816 281108 1714868    0    0     0     0 2466  636 99  1  0  0  0
217  0      0 13086816 281108 1714884    0    0     0    76 2537  700 100  0  0  0  0
243  0      0 13086784 281108 1714900    0    0     0     0 2550  655 100  0  0  0  0
243  0      0 13086756 281108 1714924    0    0     0     0 2454  645 98  2  0  0  0
243  0      0 13086820 281108 1714944    0    0     0     0 2551  652 100  0  0  0  0
234  0      0 13086568 281108 1714952    0    0     0    12 2521  828 96  4  0  0  0
226  0      0 13086632 281108 1714972    0    0     0    64 2516  653 99  1  0  0  0
234  0      0 13086536 281108 1714992    0    0     0     0 2643  642 99  1  0  0  0
226  0      0 13086696 281108 1715016    0    0     0     0 2383  632 100  0  0  0  0
209  0      0 13086696 281108 1715032    0    0     0     0 2478  656 98  2  0  0  0
173  0      0 13086664 281108 1715040    0    0     0   524 2584  642 100  0  0  0  0
226  0      0 13086632 281108 1715060    0    0     0     0 2522  635 100  0  0  0  0
225  0      0 13086568 281108 1715084    0    0     0    32 2596  657 99  1  0  0  0
225  0      0 13086760 281108 1715104    0    0     0     0 2406  637 100  0  0  0  0
225  0      0 13086792 281108 1715124    0    0     0     0 2420  648 99  1  0  0  0
225  0      0 13086632 281108 1715136    0    0     0     8 2530  668 99  1  0  0  0
225  0      0 13086632 281108 1715152    0    0     0     0 2487  665 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
230  0      0 13086632 281108 1715172    0    0     0    32 2498  651 98  2  0  0  0
230  0      0 13086696 281108 1715192    0    0     0     0 2442  640 97  3  0  0  0
239  0      0 13086728 281108 1715212    0    0     0     0 2451  651 98  2  0  0  0
239  0      0 13086600 281108 1715224    0    0     0     0 2414  649 99  1  0  0  0
239  0      0 13086664 281108 1715240    0    0     0     0 2502  649 98  2  0  0  0
238  0      0 13086600 281108 1715260    0    0     0    24 2533  654 100  0  0  0  0
239  0      0 13086792 281108 1715284    0    0     0     0 2385  641 100  0  0  0  0
