procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13856316 281108 1702324    0    0     0     0    0    0 58  0 42  0  0
 1  0      0 13856360 281108 1702332    0    0     0     0  678  415 28  0 72  0  0
 1  0      0 13856360 281108 1702336    0    0     0     0  647  408 28  1 71  0  0
 1  0      0 13856360 281108 1702340    0    0     0   208  672  422 29  0 69  2  0
 1  0      0 13856360 281108 1702344    0    0     0     0  655  404 27  2 71  0  0
 1  0      0 13856360 281108 1702348    0    0     0     0  669  407 28  0 72  0  0
 2  0      0 13856360 281108 1702352    0    0     0     0  665  411 28  1 71  0  0
 1  0      0 13856360 281108 1702356    0    0     0     0  655  404 28  0 72  0  0
 1  0      0 13856360 281108 1702360    0    0     0    48  670  429 30  0 69  1  0
 1  0      0 13856360 281108 1702364    0    0     0     0  657  403 28  2 70  0  0
 1  0      0 13856360 281108 1702368    0    0     0     0  656  406 28  1 71  0  0
 1  0      0 13856360 281108 1702372    0    0     0     0  677  408 28  1 71  0  0
 1  0      0 13856360 281108 1702380    0    0     0     0  651  413 29  0 71  0  0
 1  0      0 13856360 281108 1702384    0    0     0    24  673  414 28  0 70  2  0
 1  0      0 13856360 281108 1702388    0    0     0     0  662  419 28  1 71  0  0
 1  0      0 13856360 281108 1702392    0    0     0     0  667  410 29  0 71  0  0
 1  0      0 13856360 281108 1702396    0    0     0     0  665  407 29  1 70  0  0
 1  0      0 13856360 281108 1702400    0    0     0     0  665  406 28  2 70  0  0
 1  0      0 13856236 281108 1702404    0    0     0    44  662  441 29  0 70  1  0
 1  0      0 13856236 281108 1702412    0    0     0     0  668  403 29  0 71  0  0
 1  0      0 13856236 281108 1702412    0    0     0     0  663  411 29  0 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13856236 281108 1702416    0    0     0     0  668  410 28  0 72  0  0
 1  0      0 13856236 281108 1702420    0    0     0     0  656  403 29  0 71  0  0
 1  0      0 13856236 281108 1702424    0    0     0    24  661  417 28  1 69  2  0
 1  0      0 13856236 281108 1702428    0    0     0     0  671  417 29  0 71  0  0
 1  0      0 13856236 281108 1702432    0    0     0     0  677  418 29  0 71  0  0
 0  0      0 13856236 281108 1702440    0    0     0     0  662  414 29  0 71  0  0
 0  0      0 13856236 281108 1702444    0    0     0     0  674  404 27  3 70  0  0
 0  0      0 13856236 281108 1702448    0    0     0    44  674  423 28  1 69  2  0
 0  0      0 13856236 281108 1702452    0    0     0     0  663  408 29  0 71  0  0
 0  0      0 13856236 281108 1702456    0    0     0     0  654  404 28  0 72  0  0
 0  0      0 13856236 281108 1702460    0    0     0     0  662  401 29  0 71  0  0
 1  0      0 13856236 281108 1702464    0    0     0     0  668  410 29  0 71  0  0
 0  0      0 13856236 281108 1702468    0    0     0   228  686  424 28  0 68  4  0
 0  0      0 13856236 281108 1702472    0    0     0     0  659  418 28  1 71  0  0
 0  0      0 13856236 281108 1702476    0    0     0     0  661  407 28  0 72  0  0
 0  0      0 13856236 281108 1702480    0    0     0     0  659  405 29  0 71  0  0
 0  0      0 13856236 281108 1702484    0    0     0     0  669  397 29  0 71  0  0
 0  0      0 13856236 281108 1702488    0    0     0    40  661  428 29  0 70  1  0
 0  0      0 13856236 281108 1702492    0    0     0     0  671  409 29  0 71  0  0
 0  0      0 13856236 281108 1702496    0    0     0     0  658  406 29  1 70  0  0
 0  0      0 13856236 281108 1702500    0    0     0     0  678  414 28  2 70  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
