procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
68  0      0 12712760 322088 2419696    0    0     0     1    0    1 57  0 43  0  0
88  0      0 12710216 322088 2419700    0    0     0     0  409  360 100  0  0  0  0
90  0      0 12704136 322088 2419700    0    0     0     0  301  353 99  1  0  0  0
90  0      0 12702328 322088 2419804    0    0     0   128  302  352 100  0  0  0  0
22  0      0 12702052 322088 2419812    0    0     0     0  573  629 99  1  0  0  0
48  0      0 12702576 322088 2419820    0    0     0     0  354  336 99  1  0  0  0
45  0      0 12702576 322088 2419820    0    0     0     0  367  327 99  1  0  0  0
26  0      0 12702576 322088 2419828    0    0     0     0  428  379 100  0  0  0  0
44  0      0 12702576 322088 2419832    0    0     0    80  416  347 100  0  0  0  0
46  0      0 12702988 322088 2419780    0    0     0     0  383  375 100  0  0  0  0
42  0      0 12703608 322088 2419772    0    0     0     0  453  377 100  0  0  0  0
42  0      0 12703640 322088 2419744    0    0     0     0  383  354 100  0  0  0  0
33  0      0 12706660 322088 2419640    0    0     0     0  419  358 100  0  0  0  0
34  0      0 12706660 322088 2419644    0    0     0     0  417  358 99  1  0  0  0
24  0      0 12706660 322088 2419648    0    0     0    24  417  362 100  0  0  0  0
28  0      0 12706660 322088 2419652    0    0     0     0  441  363 100  0  0  0  0
21  0      0 12709584 322088 2419644    0    0     0     0  429  367 100  0  0  0  0
37  0      0 12712780 322088 2419572    0    0     0     0  414  365 99  1  0  0  0
55  0      0 12712780 322088 2419576    0    0     0     0  421  349 100  0  0  0  0
58  0      0 12712780 322088 2419580    0    0     0   116  389  355 100  0  0  0  0
35  0      0 12710360 322088 2419584    0    0     0     0  430  362 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33  0      0 12710360 322088 2419588    0    0     0     0  411  340 99  1  0  0  0
36  0      0 12710236 322088 2419592    0    0     0     0  409  336 100  0  0  0  0
41  0      0 12710236 322088 2419596    0    0     0     0  394  362 100  0  0  0  0
28  0      0 12712656 322088 2419600    0    0     0    36  473  410 100  0  0  0  0
35  0      0 12710360 322088 2419604    0    0     0     0  388  368 100  0  0  0  0
37  0      0 12710360 322088 2419608    0    0     0     0  432  372 100  0  0  0  0
39  0      0 12712656 322088 2419612    0    0     0     0  413  353 100  0  0  0  0
42  0      0 12712656 322088 2419616    0    0     0     0  421  340 100  0  0  0  0
45  0      0 12712656 322088 2419620    0    0     0    64  419  381 100  0  0  0  0
44  0      0 12715696 322088 2419592    0    0     0     0  408  344 100  0  0  0  0
49  0      0 12718736 322088 2419600    0    0     0     0  420  351 99  1  0  0  0
44  0      0 12716316 322088 2419604    0    0     0     0  399  354 100  0  0  0  0
38  0      0 12710484 322088 2419608    0    0     0     0  426  376 100  0  0  0  0
40  0      0 12708436 322088 2419700    0    0     0    44  427  373 100  0  0  0  0
32  0      0 12703720 322088 2419700    0    0     0     0  415  356 100  0  0  0  0
32  0      0 12703720 322088 2419708    0    0     0     0  410  348 99  1  0  0  0
36  0      0 12706660 322088 2419688    0    0     0     0  397  367 100  0  0  0  0
41  0      0 12709700 322088 2419692    0    0     0     0  457  372 98  2  0  0  0
40  0      0 12712740 322088 2419652    0    0     0   140  422  368 100  0  0  0  0
25  0      0 12715972 322088 2419464    0    0     0     0  435  396 100  0  0  0  0
31  0      0 12719012 322088 2419468    0    0     0     0  420  355 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 12716592 322088 2419472    0    0     0     0  422  346 100  0  0  0  0
47  0      0 12716468 322088 2419480    0    0     0     0  400  354 99  1  0  0  0
45  0      0 12713552 322088 2419484    0    0     0    24  429  379 100  0  0  0  0
38  0      0 12713552 322088 2419488    0    0     0     0  415  356 100  0  0  0  0
22  0      0 12713428 322088 2419492    0    0     0     0  425  349 100  0  0  0  0
41  0      0 12713428 322088 2419500    0    0     0     0  399  347 100  0  0  0  0
35  0      0 12713428 322088 2419504    0    0     0     0  409  343 99  1  0  0  0
42  0      0 12713428 322088 2419508    0    0     0   156  423  368 100  0  0  0  0
