procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12970340 322088 2414816    0    0     0     1    0    1 57  0 43  0  0
 0  0      0 12964480 322088 2414892    0    0     0     0  244  140 37  1 62  0  0
 1  0      0 12952196 322088 2415184    0    0     0     0  163  153 36  0 64  0  0
 9  0      0 12928000 322088 2415924    0    0     0     0  221  213 62  1 37  0  0
19  0      0 12879160 322088 2417484    0    0     0    40  324  293 86  0 13  1  0
41  0      0 12781240 322088 2420772    0    0     0     0  337  386 98  2  0  0  0
60  0      0 12750652 322088 2424064    0    0     0     0  317  366 99  1  0  0  0
33  0      0 12748792 322088 2424076    0    0     0     0  357  386 99  1  0  0  0
36  0      0 12748528 322088 2424084    0    0     0     0  433  374 99  1  0  0  0
12  0      0 12748900 322088 2424088    0    0     0    24  401  385 100  0  0  0  0
 3  0      0 12749552 322088 2423948    0    0     0     0  412  349 100  0  0  0  0
17  0      0 12745100 322088 2423868    0    0     0     0  401  338 99  1  0  0  0
20  0      0 12745460 322088 2423864    0    0     0     0  396  346 100  0  0  0  0
23  0      0 12741128 322088 2423864    0    0     0    12  424  375 99  1  0  0  0
11  0      0 12736868 322088 2423584    0    0     0    36  461  409 100  0  0  0  0
12  0      0 12732280 322088 2423592    0    0     0     0  412  388 100  0  0  0  0
 9  0      0 12730120 322088 2423524    0    0     0     0  415  353 100  0  0  0  0
16  0      0 12728072 322088 2423492    0    0     0     0  383  336 96  2  2  0  0
30  0      0 12717068 322088 2423276    0    0     0     0  488  548 100  0  0  0  0
28  0      0 12719552 322088 2423272    0    0     0   120  450  497 100  0  0  0  0
40  0      0 12722344 322088 2423208    0    0     0     0  391  344 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0      0 12725572 322088 2423048    0    0     0     0  386  342 99  1  0  0  0
28  0      0 12728484 322088 2422948    0    0     0     0  420  400 100  0  0  0  0
25  0      0 12731400 322088 2422952    0    0     0     0  427  379 99  1  0  0  0
14  0      0 12734452 322088 2422956    0    0     0    44  418  378 100  0  0  0  0
25  0      0 12737684 322088 2422748    0    0     0     0  393  341 100  0  0  0  0
18  0      0 12740588 322088 2422704    0    0     0     0  406  351 99  1  0  0  0
26  0      0 12743504 322088 2422708    0    0     0     0  410  353 100  0  0  0  0
21  0      0 12746632 322088 2422568    0    0     0     0  424  357 100  0  0  0  0
25  0      0 12749672 322088 2422516    0    0     0    44  410  380 100  0  0  0  0
19  0      0 12752712 322088 2422384    0    0     0     0  403  344 99  1  0  0  0
22  0      0 12755760 322088 2422352    0    0     0     0  390  348 100  0  0  0  0
30  0      0 12759000 322088 2422136    0    0     0     0  410  346 100  0  0  0  0
15  0      0 12759064 322088 2422132    0    0     0     0  425  386 100  0  0  0  0
23  0      0 12761988 322088 2422132    0    0     0   164  420  378 100  0  0  0  0
