procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
38  0      0 12826548 322088 2407764    0    0     0     1    0    1 57  0 43  0  0
46  0      0 12829340 322088 2407768    0    0     0   112  373  365 99  1  0  0  0
 9  0      0 12829340 322088 2407768    0    0     0     0  398  355 100  0  0  0  0
10  0      0 12829340 322088 2407776    0    0     0     0  377  326 100  0  0  0  0
17  0      0 12829340 322088 2407780    0    0     0     0  368  334 100  0  0  0  0
20  0      0 12829340 322088 2407780    0    0     0     0  376  333 100  0  0  0  0
 6  0      0 12829340 322088 2407784    0    0     0    24  379  309 98  0  2  0  0
 0  0      0 12829340 322088 2407788    0    0     0     0  342  289 81  0 19  0  0
11  0      0 12832492 322088 2407604    0    0     0     0  386  358 98  1  1  0  0
19  0      0 12835532 322088 2407608    0    0     0   208  435  356 100  0  0  0  0
20  0      0 12835160 322088 2407612    0    0     0     0  358  345 100  0  0  0  0
 7  0      0 12833112 322088 2407616    0    0     0    48  403  354 100  0  0  0  0
18  0      0 12835540 322088 2407604    0    0     0     0  391  356 99  1  0  0  0
14  0      0 12835540 322088 2407604    0    0     0     0  372  348 99  1  0  0  0
14  0      0 12835540 322088 2407608    0    0     0     4  381  343 100  0  0  0  0
20  0      0 12835540 322088 2407612    0    0     0     0  379  333 100  0  0  0  0
 3  0      0 12835540 322088 2407616    0    0     0    24  380  360 99  1  0  0  0
 3  0      0 12838652 322088 2407544    0    0     0     0  351  243 88  1 11  0  0
10  0      0 12838652 322088 2407544    0    0     0     0  327  251 76  1 23  0  0
12  0      0 12838652 322088 2407548    0    0     0     4  385  354 99  1  0  0  0
20  0      0 12841700 322088 2407460    0    0     0     0  374  341 97  0  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 12844772 322088 2407424    0    0     0    24  404  380 100  0  0  0  0
 0  0      0 12847800 322088 2407316    0    0     0     0  379  291 99  0  1  0  0
18  0      0 12847800 322088 2407320    0    0     0     0  381  302 94  0  6  0  0
10  0      0 12845504 322088 2407324    0    0     0     0  385  355 100  0  0  0  0
20  0      0 12839548 322088 2407328    0    0     0     0  381  349 99  1  0  0  0
 7  0      0 12839548 322088 2407328    0    0     0    24  388  350 100  0  0  0  0
15  0      0 12839548 322088 2407332    0    0     0     0  367  328 100  0  0  0  0
 8  0      0 12839548 322088 2407336    0    0     0     0  401  356 99  1  0  0  0
11  0      0 12839548 322088 2407340    0    0     0     8  383  346 100  0  0  0  0
15  0      0 12841868 322088 2407304    0    0     0     0  384  348 100  0  0  0  0
17  0      0 12841868 322088 2407308    0    0     0    36  383  361 99  1  0  0  0
 1  0      0 12841868 322088 2407312    0    0     0     0  368  300 94  0  6  0  0
 6  0      0 12841868 322088 2407316    0    0     0     0  398  310 100  0  0  0  0
12  0      0 12841868 322088 2407320    0    0     0     4  369  337 100  0  0  0  0
25  0      0 12841868 322088 2407320    0    0     0     0  389  335 100  0  0  0  0
20  0      0 12839448 322088 2407324    0    0     0    32  376  356 100  0  0  0  0
10  0      0 12839448 322088 2407328    0    0     0     0  393  347 100  0  0  0  0
17  0      0 12838952 322088 2407336    0    0     0     0  374  350 100  0  0  0  0
 8  0      0 12836532 322088 2407336    0    0     0   112  401  343 99  1  0  0  0
15  0      0 12836408 322088 2407340    0    0     0     0  363  337 100  0  0  0  0
