procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
60  0      0 12795716 322088 2420636    0    0     0     1    0    1 57  0 43  0  0
60  0      0 12793044 322088 2420708    0    0     0     0  495  373 99  1  0  0  0
62  0      0 12787336 322088 2420708    0    0     0     0  278  333 100  0  0  0  0
22  0      0 12775228 322088 2420824    0    0     0     0  461  374 100  0  0  0  0
31  0      0 12750916 322088 2421496    0    0     0   168  363  353 100  0  0  0  0
60  0      0 12702564 322088 2422964    0    0     0     0  340  337 98  2  0  0  0
95  0      0 12620884 322088 2426000    0    0     0     0  313  368 98  2  0  0  0
106  0      0 12573484 322088 2428120    0    0     0     0  357  382 99  1  0  0  0
105  0      0 12559296 322088 2429280    0    0     0     0  347  415 99  1  0  0  0
101  0      0 12554704 322088 2429292    0    0     0    28  351  351 100  0  0  0  0
99  0      0 12554208 322088 2429296    0    0     0     0  365  355 99  1  0  0  0
79  0      0 12549120 322088 2429300    0    0     0     0  464  364 99  1  0  0  0
82  0      0 12546860 322088 2429144    0    0     0     0  412  360 99  1  0  0  0
84  0      0 12546828 322088 2429080    0    0     0     0  378  350 100  0  0  0  0
81  0      0 12549652 322088 2429080    0    0     0     0  373  355 100  0  0  0  0
61  0      0 12552744 322088 2428864    0    0     0    24  446  374 100  0  0  0  0
67  0      0 12546360 322088 2428860    0    0     0     0  447  391 100  0  0  0  0
69  0      0 12542320 322088 2428744    0    0     0     0  405  361 98  2  0  0  0
83  0      0 12535432 322088 2428748    0    0     0     0  433  363 100  0  0  0  0
87  0      0 12537728 322088 2428752    0    0     0   124  430  363 100  0  0  0  0
88  0      0 12540644 322088 2428760    0    0     0    36  402  385 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
74  0      0 12543612 322088 2428488    0    0     0     0  440  376 99  1  0  0  0
