procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12934860 322088 2405404    0    0     0     0  239  140 50  0 50  0  0
 1  0      0 12934860 322088 2405408    0    0     0     0  157  116 32  0 68  0  0
 0  0      0 12931944 322088 2405408    0    0     0     0  166  117 32  1 67  0  0
 2  0      0 12931944 322088 2405408    0    0     0    32  180  140 36  2 62  0  0
 2  0      0 12931944 322088 2405412    0    0     0     0  200  145 39  0 61  0  0
 1  0      0 12931324 322088 2405412    0    0     0     0  207  185 44  0 56  0  0
 0  0      0 12931200 322088 2405412    0    0     0     0  271  158 58  0 42  0  0
 0  0      0 12934280 322088 2405364    0    0     0     0  190  140 40  0 60  0  0
 1  0      0 12934280 322088 2405364    0    0     0    24  223  160 49  0 51  0  0
 0  0      0 12933908 322088 2405364    0    0     0     0  243  166 52  0 48  0  0
 0  0      0 12933908 322088 2405368    0    0     0     0  147  127 25  0 75  0  0
 0  0      0 12931860 322088 2405368    0    0     0     0  182  144 36  0 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 12930688 322088 2405372    0    0     0     0  211  278 43  1 56  0  0
 1  0      0 12931240 322088 2405376    0    0     0    68  239  269 52  0 47  1  0
 0  0      0 12930868 322088 2405376    0    0     0     8  183  146 35  0 65  0  0
 0  0      0 12928820 322088 2405376    0    0     0     0  231  145 54  1 45  0  0
 1  0      0 12928820 322088 2405384    0    0     0     0  208  137 46  0 54  0  0
 0  0      0 12931240 322088 2405380    0    0     0     0  256  162 62  0 38  0  0
 0  1      0 12931240 322088 2405384    0    0     0    36  206  173 40  0 58  2  0
 5  0      0 12934288 322088 2405376    0    0     0    76  213  154 43  0 57  0  0
 0  0      0 12934288 322088 2405376    0    0     0     0  162  131 33  0 67  0  0
 2  0      0 12931868 322088 2405380    0    0     0     0  256  149 62  0 38  0  0
 0  0      0 12930752 322088 2405380    0    0     0     0  196  129 38  0 62  0  0
 2  0      0 12928704 322088 2405380    0    0     0     0  264  183 62  1 37  0  0
 2  0      0 12931372 322088 2405356    0    0     0    36  203  152 38  1 61  0  0
 2  0      0 12931372 322088 2405356    0    0     0     0  199  133 47  0 53  0  0
 2  0      0 12931372 322088 2405356    0    0     0     0  220  129 52  0 48  0  0
 0  0      0 12931372 322088 2405360    0    0     0     0  134  107 26  0 74  0  0
 3  0      0 12931372 322088 2405360    0    0     0     0  259  203 61  0 39  0  0
 0  0      0 12928828 322088 2405364    0    0     0    76  219  185 46  0 52  2  0
 1  0      0 12927836 322088 2405364    0    0     0     0  205  143 43  0 57  0  0
 3  0      0 12925292 322088 2405364    0    0     0     0  224  164 52  0 48  0  0
 0  0      0 12925292 322088 2405368    0    0     0     0  201  138 42  0 58  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12925292 322088 2405368    0    0     0     0  204  128 44  0 56  0  0
 1  0      0 12925292 322088 2405368    0    0     0    32  259  154 60  0 37  3  0
 2  0      0 12925292 322088 2405372    0    0     0     0  170  112 36  1 63  0  0
 6  0      0 12925292 322088 2405372    0    0     0     0  299  202 75  0 25  0  0
 0  0      0 12925292 322088 2405376    0    0     0     0  272  182 67  0 33  0  0
 2  0      0 12925292 322088 2405376    0    0     0     0  256  142 60  0 40  0  0
 3  0      0 12925292 322088 2405380    0    0     0    24  250  180 62  0 38  0  0
 1  0      0 12925292 322088 2405380    0    0     0     0  194  126 44  0 56  0  0
 0  0      0 12925292 322088 2405380    0    0     0     0  187  143 41  0 59  0  0
 1  0      0 12925292 322088 2405384    0    0     0     0  254  140 61  0 39  0  0
 0  0      0 12925292 322088 2405384    0    0     0     0  179  132 36  0 64  0  0
 1  0      0 12928208 322088 2405392    0    0     0    32  241  179 52  0 47  1  0
 0  0      0 12931288 322088 2405344    0    0     0     0  234  147 55  0 45  0  0
 0  0      0 12931288 322088 2405344    0    0     0     0  238  364 48  2 50  0  0
 1  0      0 12928868 322088 2405348    0    0     0     0  183  148 33  1 66  0  0
