procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 15242252  25132 600604    0    0   172    51  175  166 29  3 65  3  0
80  0      0 15242252  25132 600552    0    0     0     0  396  320 100  0  0  0  0
80  0      0 15242252  25132 600552    0    0     0     0  280  292 100  0  0  0  0
63  0      0 15242252  25132 600552    0    0     0     0  312  305 100  0  0  0  0
22  1      0 15242252  25140 600548    0    0     0    32  450  327 100  0  0  0  0
36  0      0 15242252  25140 600568    0    0     0     0  363  306 100  0  0  0  0
38  0      0 15242252  25140 600568    0    0     0     0  339  296 100  0  0  0  0
39  0      0 15242252  25140 600572    0    0     0     0  365  305 100  0  0  0  0
52  0      0 15245056  25140 600432    0    0     0     0  351  310 99  1  0  0  0
50  1      0 15248012  25148 600404    0    0     0    68  381  344 100  0  0  0  0
32  0      0 15251128  25148 600412    0    0     0     0  368  339 99  1  0  0  0
31  0      0 15254232  25148 600372    0    0     0     0  381  322 100  0  0  0  0
29  0      0 15257256  25148 600268    0    0     0     0  358  337 100  0  0  0  0
28  0      0 15257020  25148 600208    0    0     0     0  374  323 100  0  0  0  0
27  0      0 15257420  25148 600176    0    0     0     0  394  343 100  0  0  0  0
43  0      0 15257432  25156 600176    0    0     0    16  368  338 100  0  0  0  0
40  0      0 15257464  25156 600148    0    0     0     0  362  306 99  1  0  0  0
34  0      0 15257464  25156 600152    0    0     0     0  360  329 100  0  0  0  0
40  0      0 15257464  25156 600156    0    0     0     0  377  322 100  0  0  0  0
48  0      0 15257464  25156 600156    0    0     0    96  364  320 100  0  0  0  0
51  0      0 15257084  25164 600152    0    0     0    24  372  339 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  0      0 15251484  25164 600164    0    0     0     0  382  329 99  1  0  0  0
49  0      0 15249064  25164 600164    0    0     0     0  351  314 100  0  0  0  0
40  0      0 15251480  25164 600168    0    0     0     0  365  329 100  0  0  0  0
39  0      0 15254460  25164 600104    0    0     0     0  373  321 100  0  0  0  0
36  0      0 15254100  25172 600100    0    0     0    16  341  330 100  0  0  0  0
15  0      0 15254100  25172 600112    0    0     0     0  381  318 100  0  0  0  0
25  0      0 15251548  25172 600116    0    0     0     0  352  305 100  0  0  0  0
34  0      0 15251544  25172 600120    0    0     0     0  403  355 100  0  0  0  0
45  0      0 15254484  25172 600088    0    0     0     8  368  338 99  1  0  0  0
43  0      0 15257544  25180 600080    0    0     0    28  366  331 99  1  0  0  0
46  0      0 15257544  25180 600072    0    0     0     0  386  327 100  0  0  0  0
51  0      0 15257544  25180 600076    0    0     0     0  353  304 100  0  0  0  0
47  0      0 15257164  25180 600076    0    0     0     0  357  323 100  0  0  0  0
37  0      0 15254108  25180 600080    0    0     0     4  386  321 100  0  0  0  0
43  0      0 15249144  25188 600076    0    0     0    24  356  326 100  0  0  0  0
39  0      0 15249144  25188 600088    0    0     0     0  359  312 100  0  0  0  0
42  0      0 15251436  25188 600088    0    0     0     0  376  316 100  0  0  0  0
40  0      0 15251448  25188 600092    0    0     0     0  346  316 100  0  0  0  0
30  0      0 15254496  25188 600096    0    0     0     0  374  327 100  0  0  0  0
26  0      0 15257480  25196 600020    0    0     0    16  389  350 100  0  0  0  0
38  0      0 15257252  25196 600008    0    0     0     0  352  315 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 15255204  25196 600008    0    0     0     0  379  313 100  0  0  0  0
49  0      0 15255204  25196 600012    0    0     0     0  352  306 99  1  0  0  0
49  0      0 15255080  25196 600024    0    0     0     0  365  318 100  0  0  0  0
47  0      0 15254956  25204 600016    0    0     0    16  379  332 100  0  0  0  0
43  0      0 15254956  25204 600032    0    0     0     0  369  314 100  0  0  0  0
46  0      0 15254956  25204 600032    0    0     0     0  341  303 100  0  0  0  0
43  0      0 15254452  25204 600036    0    0     0     0  368  314 100  0  0  0  0
37  0      0 15250828  25204 600112    0    0     0     0  359  310 99  1  0  0  0
42  0      0 15245988  25204 600120    0    0     0   132  380  327 100  0  0  0  0
38  0      0 15248540  25212 600120    0    0     0    24  382  346 100  0  0  0  0
37  0      0 15251452  25212 600124    0    0     0     0  366  309 99  1  0  0  0
31  0      0 15254572  25212 600048    0    0     0     0  367  339 100  0  0  0  0
36  0      0 15257512  25212 600008    0    0     0     0  371  322 100  0  0  0  0
47  0      0 15257268  25212 600008    0    0     0     0  375  325 100  0  0  0  0
45  0      0 15257668  25220 599976    0    0     0    16  363  338 99  1  0  0  0
41  0      0 15257680  25220 599980    0    0     0     0  368  331 99  1  0  0  0
36  0      0 15257300  25220 599984    0    0     0     0  384  331 100  0  0  0  0
34  0      0 15255252  25220 599988    0    0     0     0  354  308 100  0  0  0  0
50  0      0 15254624  25220 599992    0    0     0     0  385  315 100  0  0  0  0
52  0      0 15251108  25228 600064    0    0     0    20  350  328 99  1  0  0  0
43  0      0 15253524  25228 600112    0    0     0     0  348  302 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 15251488  25228 600112    0    0     0     0  380  325 100  0  0  0  0
37  0      0 15249192  25228 600116    0    0     0     0  384  304 100  0  0  0  0
46  0      0 15251472  25228 600120    0    0     0     8  340  313 100  0  0  0  0
44  0      0 15254544  25236 600112    0    0     0    24  368  338 100  0  0  0  0
45  0      0 15254544  25236 600120    0    0     0     0  375  316 100  0  0  0  0
47  0      0 15254576  25236 600092    0    0     0     0  364  314 100  0  0  0  0
47  0      0 15254576  25236 600092    0    0     0     0  363  310 100  0  0  0  0
39  0      0 15254576  25236 600096    0    0     0     0  363  318 100  0  0  0  0
31  0      0 15254576  25244 600092    0    0     0    16  367  328 100  0  0  0  0
35  0      0 15254576  25244 600104    0    0     0     0  365  311 99  1  0  0  0
43  0      0 15254576  25244 600108    0    0     0     0  371  311 100  0  0  0  0
43  0      0 15257752  25244 599972    0    0     0     0  367  335 100  0  0  0  0
40  0      0 15260664  25244 599916    0    0     0     0  376  327 100  0  0  0  0
45  0      0 15258156  25252 599880    0    0     0    16  372  342 100  0  0  0  0
43  0      0 15254728  25252 599896    0    0     0     0  377  324 99  1  0  0  0
44  0      0 15249796  25252 600256    0    0     0     0  361  316 100  0  0  0  0
42  0      0 15247360  25252 600268    0    0     0     0  351  304 100  0  0  0  0
35  0      0 15245444  25252 600272    0    0     0   100  367  317 99  1  0  0  0
27  0      0 15245468  25260 600268    0    0     0    24  381  343 100  0  0  0  0
28  0      0 15248324  25260 600208    0    0     0     0  370  319 99  1  0  0  0
33  0      0 15251496  25260 600104    0    0     0     0  344  314 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37  0      0 15254464  25260 600104    0    0     0     0  384  329 99  1  0  0  0
41  0      0 15254476  25260 600104    0    0     0    20  378  317 100  0  0  0  0
