procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0      0 15309396  25708 599060    0    0   149    45  200  186 38  3 57  2  0
43  0      0 15312184  25708 599076    0    0     0     0  378  326 100  0  0  0  0
 3  0      0 15315224  25708 599076    0    0     0     0  367  326 100  0  0  0  0
 9  0      0 15318292  25708 599076    0    0     0     0  298  175 77  0 23  0  0
14  0      0 15321276  25708 599008    0    0     0    44  354  301 100  0  0  0  0
15  0      0 15324352  25716 598980    0    0     0    32  364  325 99  1  0  0  0
 3  0      0 15327480  25716 598860    0    0     0     0  356  266 97  0  3  0  0
 8  0      0 15330516  25716 598864    0    0     0     0  332  223 88  0 12  0  0
22  0      0 15333576  25716 598852    0    0     0     0  367  322 100  0  0  0  0
17  0      0 15336488  25716 598844    0    0     0     0  362  330 100  0  0  0  0
 2  0      0 15339832  25724 598640    0    0     0    16  396  338 97  0  2  1  0
 7  0      0 15342744  25724 598624    0    0     0     0  365  223 94  1  5  0  0
 5  0      0 15345900  25724 598512    0    0     0     0  348  304 100  0  0  0  0
11  0      0 15348984  25724 598480    0    0     0     0  367  286 98  1  1  0  0
15  0      0 15349004  25724 598424    0    0     0     0  364  315 100  0  0  0  0
 1  0      0 15352092  25732 598320    0    0     0    16  370  262 93  0  7  0  0
 1  0      0 15352124  25732 598316    0    0     0     0  329  230 89  0 11  0  0
 6  0      0 15352124  25732 598316    0    0     0     0  357  292 97  0  3  0  0
16  0      0 15351868  25732 598316    0    0     0     0  367  306 100  0  0  0  0
22  0      0 15349060  25732 598320    0    0     0    92  379  338 100  0  0  0  0
 4  0      0 15346128  25740 598316    0    0     0    24  352  282 87  0 13  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 15346152  25740 598328    0    0     0     0  367  310 100  0  0  0  0
12  0      0 15345896  25740 598332    0    0     0     0  349  304 99  1  0  0  0
11  0      0 15345772  25740 598336    0    0     0     0  357  277 97  0  3  0  0
19  0      0 15343724  25740 598336    0    0     0     0  350  303 100  0  0  0  0
 5  1      0 15343600  25748 598332    0    0     0    16  363  266 93  0  7  0  0
 2  0      0 15346152  25748 598344    0    0     0     0  336  236 90  1  9  0  0
 1  0      0 15346168  25748 598316    0    0     0     0  360  282 98  0  2  0  0
 3  0      0 15349088  25748 598316    0    0     0     0  345  243 96  0  4  0  0
 7  0      0 15349100  25748 598304    0    0     0     8  362  287 98  1  1  0  0
14  1      0 15352172  25756 598300    0    0     0    28  384  345 100  0  0  0  0
12  0      0 15351792  25756 598272    0    0     0     0  384  324 100  0  0  0  0
 0  0      0 15351792  25756 598276    0    0     0     0  362  309 98  0  2  0  0
 1  0      0 15352160  25756 598276    0    0     0     0  287  177 72  0 28  0  0
20  0      0 15352172  25756 598276    0    0     0     0  355  298 100  0  0  0  0
19  0      0 15352172  25756 598280    0    0     0     4  376  321 100  0  0  0  0
17  0      0 15351792  25764 598288    0    0     0    24  384  337 100  0  0  0  0
12  0      0 15349620  25764 598292    0    0     0     0  368  310 100  0  0  0  0
15  0      0 15349240  25764 598296    0    0     0     0  364  306 100  0  0  0  0
17  0      0 15345936  25764 598296    0    0     0     0  361  303 99  1  0  0  0
 6  0      0 15343144  25764 598300    0    0     0    40  377  292 100  0  0  0  0
 1  0      0 15343152  25772 598304    0    0     0    16  320  231 81  1 18  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 15346196  25772 598296    0    0     0     0  364  276 100  0  0  0  0
19  0      0 15346216  25772 598280    0    0     0     0  367  316 100  0  0  0  0
14  0      0 15346216  25772 598284    0    0     0     0  368  329 100  0  0  0  0
 7  0      0 15346216  25772 598288    0    0     0     0  384  330 100  0  0  0  0
13  0      0 15349128  25780 598292    0    0     0    16  350  264 96  0  4  0  0
 8  0      0 15349140  25780 598292    0    0     0     0  356  314 100  0  0  0  0
17  0      0 15348760  25780 598296    0    0     0     0  362  304 100  0  0  0  0
 3  0      0 15345952  25780 598300    0    0     0     0  372  321 100  0  0  0  0
17  0      0 15343144  25780 598304    0    0     0   100  357  322 98  0  2  0  0
16  0      0 15343168  25788 598308    0    0     0    24  390  315 99  1  0  0  0
18  0      0 15342912  25788 598308    0    0     0     0  353  316 99  1  0  0  0
 2  0      0 15342788  25788 598316    0    0     0     0  355  282 97  0  3  0  0
 4  0      0 15342788  25788 598316    0    0     0     0  319  243 91  0  9  0  0
 3  0      0 15340616  25788 598320    0    0     0     0  350  264 95  0  5  0  0
10  0      0 15340616  25796 598324    0    0     0    16  360  309 95  0  5  0  0
22  0      0 15340616  25796 598324    0    0     0     0  379  313 100  0  0  0  0
 5  0      0 15343044  25796 598328    0    0     0     0  353  316 100  0  0  0  0
 5  0      0 15345976  25796 598324    0    0     0     0  350  218 95  0  5  0  0
 3  0      0 15345976  25796 598328    0    0     0     0  344  258 91  0  9  0  0
13  0      0 15349080  25804 598248    0    0     0    16  380  327 100  0  0  0  0
 5  0      0 15349080  25804 598252    0    0     0     0  367  315 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 15349080  25804 598256    0    0     0     0  343  218 88  0 12  0  0
20  0      0 15344456  25820 602856    0    0  4192     0  400  835 97  3  0  0  0
 7  0      0 15343952  25820 602868    0    0     0     0  388  326 99  0  1  0  0
 1  0      0 15341904  25828 602868    0    0     0    48  358  300 97  0  3  0  0
 3  0      0 15341780  25828 602872    0    0     0     0  367  261 96  0  4  0  0
 7  0      0 15341780  25828 602876    0    0     0     0  357  308 100  0  0  0  0
12  0      0 15341780  25828 602876    0    0     0     0  370  319 100  0  0  0  0
17  0      0 15344348  25828 602852    0    0     0     8  349  313 99  1  0  0  0
11  0      0 15344348  25836 602856    0    0     0    24  386  328 100  0  0  0  0
20  0      0 15344348  25836 602860    0    0     0     0  365  319 100  0  0  0  0
 3  0      0 15344348  25836 602864    0    0     0     0  352  263 92  0  8  0  0
 7  0      0 15341920  25836 602864    0    0     0     0  361  299 100  0  0  0  0
11  0      0 15336072  25836 602868    0    0     0     0  353  301 99  1  0  0  0
24  0      0 15331260  25844 603028    0    0     0    64  374  339 100  0  0  0  0
10  0      0 15329220  25844 603032    0    0     0     0  375  321 100  0  0  0  0
 8  0      0 15329228  25844 603036    0    0     0     0  354  316 100  0  0  0  0
 2  0      0 15332276  25844 603032    0    0     0     0  330  234 84  1 15  0  0
 7  0      0 15335324  25844 603032    0    0     0     0  361  291 97  0  3  0  0
14  0      0 15338352  25852 602908    0    0     0   120  363  324 100  0  0  0  0
16  0      0 15341400  25852 602868    0    0     0     0  391  338 99  1  0  0  0
14  0      0 15344480  25852 602836    0    0     0     0  365  314 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 15347656  25852 602708    0    0     0     0  364  315 100  0  0  0  0
 9  0      0 15347316  25852 602680    0    0     0     0  362  281 100  0  0  0  0
 5  0      0 15345268  25860 602676    0    0     0    16  369  321 100  0  0  0  0
12  0      0 15342220  25860 602684    0    0     0     0  377  311 99  1  0  0  0
19  0      0 15338792  25860 602688    0    0     0     0  335  312 100  0  0  0  0
 9  0      0 15338800  25860 602696    0    0     0     0  393  312 100  0  0  0  0
 6  0      0 15341724  25860 602696    0    0     0     0  368  310 100  0  0  0  0
14  0      0 15339296  25868 602692    0    0     0    16  369  328 99  1  0  0  0
 9  0      0 15339172  25868 602700    0    0     0     0  360  320 100  0  0  0  0
12  0      0 15339172  25868 602704    0    0     0     0  342  262 88  0 12  0  0
15  0      0 15339172  25868 602708    0    0     0     0  367  312 100  0  0  0  0
 9  0      0 15339172  25868 602712    0    0     0     0  374  307 100  0  0  0  0
 8  0      0 15339172  25868 602716    0    0     0     8  358  294 96  0  4  0  0
23  0      0 15341600  25876 602720    0    0     0    16  363  311 100  0  0  0  0
 9  0      0 15339172  25876 602724    0    0     0     0  371  327 100  0  0  0  0
 6  0      0 15335556  25876 602792    0    0     0     0  361  303 100  0  0  0  0
 7  0      0 15335564  25876 602796    0    0     0     0  363  316 100  0  0  0  0
 5  0      0 15338488  25876 602792    0    0     0     8  383  310 99  1  0  0  0
 4  0      0 15336060  25884 602800    0    0     0    24  368  287 99  0  1  0  0
 8  0      0 15336060  25884 602800    0    0     0     0  381  335 100  0  0  0  0
10  0      0 15338488  25884 602796    0    0     0     0  368  322 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 15341600  25884 602720    0    0     0     0  375  321 100  0  0  0  0
10  0      0 15344524  25884 602720    0    0     0     0  372  318 100  0  0  0  0
12  0      0 15342096  25892 602724    0    0     0    16  363  324 99  1  0  0  0
 4  0      0 15338668  25892 602728    0    0     0     0  356  288 98  1  1  0  0
10  0      0 15338552  25892 602732    0    0     0     0  366  316 100  0  0  0  0
