procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 15439912  26492 600436    0    0   128    40  213  190 44  2 52  2  0
 0  0      0 15442728  26492 600412    0    0     0     0  111   91 21  0 79  0  0
 0  0      0 15445824  26492 600328    0    0     0     0  164   94 36  0 64  0  0
 0  0      0 15448904  26492 600268    0    0     0     0  119   90 25  0 75  0  0
 0  0      0 15451968  26500 600212    0    0     0    32  113   93 21  0 78  1  0
 0  0      0 15451968  26500 600212    0    0     0     0   81   76 10  0 90  0  0
 1  0      0 15455196  26500 600096    0    0     0     0  129   78 26  0 74  0  0
 0  0      0 15458300  26500 600012    0    0     0     0  166  100 35  0 65  0  0
 0  0      0 15458300  26500 600012    0    0     0     0  109   81 20  0 80  0  0
 0  0      0 15458300  26508 600012    0    0     0    20  134   93 25  0 74  1  0
 0  0      0 15458300  26508 600012    0    0     0     0  151  107 30  0 70  0  0
 0  0      0 15458300  26508 600016    0    0     0     0  117   76 25  0 75  0  0
 0  0      0 15457920  26508 600016    0    0     0     0  161   79 35  0 65  0  0
 0  0      0 15457920  26508 600016    0    0     0     0  144   78 35  1 64  0  0
 0  0      0 15457920  26516 600008    0    0     0    16  115   81 21  0 77  2  0
 0  0      0 15457920  26516 600016    0    0     0     0   67   64 10  0 90  0  0
 0  0      0 15457920  26516 600016    0    0     0     0  105   80 15  0 85  0  0
 0  0      0 15455748  26516 600020    0    0     0     0  102   69 21  0 79  0  0
 1  0      0 15458380  26516 599892    0    0     0     0  138   92 21  0 79  0  0
 1  0      0 15458380  26516 599892    0    0     0     0  105   78 19  0 81  0  0
 1  0      0 15458256  26524 599896    0    0     0    48  125   80 23  0 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 15458256  26524 599896    0    0     0     0   94   67 18  0 82  0  0
 0  0      0 15461444  26524 599856    0    0     0     0  207  132 46  0 54  0  0
 0  0      0 15459016  26524 599856    0    0     0     0   90   71 15  0 85  0  0
 0  0      0 15458016  26524 599856    0    0     0     0  118   88 20  0 80  0  0
 0  0      0 15458016  26532 599856    0    0     0    24  107   82 20  0 80  0  0
 0  0      0 15458016  26532 599856    0    0     0     0   60   61  6  0 94  0  0
 1  0      0 15458016  26532 599856    0    0     0     0  180   96 40  0 60  0  0
 1  0      0 15457900  26532 599860    0    0     0     0  112   82 18  0 82  0  0
 0  0      0 15458404  26532 599860    0    0     0     0   82   70 13  1 86  0  0
 2  0      0 15458404  26540 599860    0    0     0    72  135   98 22  0 75  3  0
 0  0      0 15458404  26540 599860    0    0     0     0  137   79 30  0 70  0  0
 2  0      0 15458404  26540 599860    0    0     0     0  127   90 22  0 78  0  0
 0  0      0 15458404  26540 599860    0    0     0     0   75   59 13  0 87  0  0
 0  0      0 15458404  26540 599864    0    0     0     0  106   67 20  1 79  0  0
 0  0      0 15458404  26548 599864    0    0     0    28  135   93 30  0 67  3  0
 0  0      0 15458404  26548 599864    0    0     0     0  232  111 56  0 44  0  0
 2  0      0 15461532  26548 599776    0    0     0     0  117   93 23  0 77  0  0
 2  0      0 15461532  26548 599776    0    0     0     0  142   81 28  0 72  0  0
 0  0      0 15461152  26548 599776    0    0     0     0  160  102 35  0 65  0  0
 1  0      0 15459104  26556 599776    0    0     0    16  129   89 23  0 75  2  0
 0  0      0 15458600  26556 599776    0    0     0     0   81   73 12  0 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 15458600  26556 599776    0    0     0     0  132   91 25  0 75  0  0
 0  0      0 15458600  26556 599780    0    0     0     0  102   72 21  0 79  0  0
 1  0      0 15458484  26556 599784    0    0     0     0  172   87 39  0 61  0  0
 0  0      0 15461564  26564 599732    0    0     0    16  114  102 17  0 81  2  0
 2  0      0 15459136  26564 599732    0    0     0     0  163   89 33  0 67  0  0
 0  0      0 15458128  26564 599736    0    0     0     0  178  113 43  0 57  0  0
 0  0      0 15458128  26564 599736    0    0     0     0  169   77 41  0 59  0  0
 0  0      0 15458128  26564 599736    0    0     0     0  138   83 31  0 69  0  0
 0  0      0 15458128  26572 599728    0    0     0    44  131   95 25  0 75  0  0
 0  0      0 15458128  26572 599740    0    0     0     0   88   67 15  0 85  0  0
 2  0      0 15458128  26572 599740    0    0     0     0   98   59 17  0 83  0  0
 0  0      0 15455592  26576 599740    0    0     4     0  150  126 28  1 70  1  0
