procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
51  0      0 15344860  24372 595836    0    0   215    61  126  126 12  4 81  3  0
51  0      0 15342212  24372 595884    0    0     0     0  515  310 100  0  0  0  0
 9  0      0 15336240  24372 595916    0    0     0     0  385  331 99  1  0  0  0
22  0      0 15324296  24372 595924    0    0     0     0  341  300 99  1  0  0  0
21  0      0 15300188  24372 596404    0    0     0     0  337  310 100  0  0  0  0
37  0      0 15251180  24380 597976    0    0     0    32  346  331 99  1  0  0  0
87  0      0 15158848  24380 601208    0    0     0     0  318  356 99  1  0  0  0
112  0      0 15127184  24380 604400    0    0     0     0  331  339 98  2  0  0  0
104  0      0 15121548  24380 604696    0    0     0     0  301  357 100  0  0  0  0
96  0      0 15116592  24380 604724    0    0     0     0  359  320 100  0  0  0  0
91  0      0 15112008  24388 604720    0    0     0    16  328  319 100  0  0  0  0
67  0      0 15106680  24388 604728    0    0     0     0  435  348 100  0  0  0  0
73  0      0 15106692  24388 604592    0    0     0     0  355  304 99  1  0  0  0
85  0      0 15105064  24388 604504    0    0     0     4  363  319 100  0  0  0  0
91  0      0 15105048  24388 604484    0    0     0     0  328  319 100  0  0  0  0
92  0      0 15103016  24388 604476    0    0     0     0  345  314 99  1  0  0  0
74  0      0 15101688  24396 604264    0    0     0    16  392  349 100  0  0  0  0
77  0      0 15095056  24396 604160    0    0     0     0  400  333 100  0  0  0  0
80  0      0 15090596  24396 604148    0    0     0    56  367  326 99  1  0  0  0
83  0      0 15088748  24396 604004    0    0     0     0  352  327 99  1  0  0  0
83  0      0 15088868  24396 603960    0    0     0     0  354  315 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
82  0      0 15091736  24404 603828    0    0     0    24  391  354 100  0  0  0  0
75  0      0 15094676  24404 603824    0    0     0     0  372  315 99  1  0  0  0
90  0      0 15097600  24404 603828    0    0     0     0  374  330 100  0  0  0  0
86  0      0 15100524  24404 603792    0    0     0     0  361  316 100  0  0  0  0
89  0      0 15103588  24404 603600    0    0     0     0  352  320 100  0  0  0  0
87  0      0 15106520  24412 603580    0    0     0    16  355  336 99  1  0  0  0
78  0      0 15109444  24412 603520    0    0     0     0  372  333 100  0  0  0  0
60  0      0 15112512  24412 603380    0    0     0     0  356  327 100  0  0  0  0
65  0      0 15115596  24412 603360    0    0     0    12  411  339 99  1  0  0  0
68  0      0 15118516  24412 603320    0    0     0     0  357  312 99  1  0  0  0
84  0      0 15121448  24420 603296    0    0     0    36  370  346 100  0  0  0  0
81  0      0 15124700  24420 603028    0    0     0     0  342  322 100  0  0  0  0
73  0      0 15127748  24420 603024    0    0     0     0  396  341 100  0  0  0  0
77  0      0 15130660  24420 603032    0    0     0    56  371  329 100  0  0  0  0
69  0      0 15133940  24420 602804    0    0     0     0  373  330 100  0  0  0  0
79  0      0 15136992  24428 602724    0    0     0    24  378  331 100  0  0  0  0
73  0      0 15140040  24428 602636    0    0     0     0  374  331 100  0  0  0  0
77  0      0 15140040  24428 602640    0    0     0     0  374  330 100  0  0  0  0
85  0      0 15139660  24428 602644    0    0     0     0  366  322 100  0  0  0  0
77  0      0 15137488  24428 602644    0    0     0     0  370  325 100  0  0  0  0
83  0      0 15137488  24436 602640    0    0     0    16  363  318 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
83  0      0 15137488  24436 602652    0    0     0     0  382  353 100  0  0  0  0
84  0      0 15137488  24436 602656    0    0     0     0  382  315 100  0  0  0  0
88  0      0 15139904  24436 602660    0    0     0     0  366  329 100  0  0  0  0
85  0      0 15137496  24436 602652    0    0     0     0  364  329 100  0  0  0  0
81  0      0 15131524  24444 602644    0    0     0    16  361  327 100  0  0  0  0
76  0      0 15129452  24444 602656    0    0     0     0  380  335 100  0  0  0  0
78  0      0 15126904  24444 602724    0    0     0     0  377  319 100  0  0  0  0
84  0      0 15125372  24444 602724    0    0     0   104  354  320 99  1  0  0  0
81  0      0 15127912  24444 602728    0    0     0     0  355  328 100  0  0  0  0
81  0      0 15130836  24444 602732    0    0     0     0  369  318 100  0  0  0  0
75  0      0 15130848  24452 602736    0    0     0    24  384  347 100  0  0  0  0
81  0      0 15130848  24452 602740    0    0     0     0  408  333 99  1  0  0  0
78  0      0 15130468  24452 602740    0    0     0     0  339  309 100  0  0  0  0
84  0      0 15128296  24452 602744    0    0     0     0  366  313 100  0  0  0  0
79  0      0 15128296  24452 602748    0    0     0     0  350  317 100  0  0  0  0
75  0      0 15130712  24460 602752    0    0     0    16  401  341 98  2  0  0  0
78  0      0 15133748  24460 602684    0    0     0     0  356  327 100  0  0  0  0
80  0      0 15133760  24460 602640    0    0     0     0  388  336 100  0  0  0  0
79  0      0 15136808  24460 602572    0    0     0     0  352  319 100  0  0  0  0
72  0      0 15134388  24460 602576    0    0     0     0  378  322 100  0  0  0  0
83  0      0 15128416  24468 602580    0    0     0    16  374  337 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
77  0      0 15126092  24468 602852    0    0     0     0  353  321 100  0  0  0  0
83  0      0 15126472  24468 602860    0    0     0     8  361  322 100  0  0  0  0
91  0      0 15122136  24468 602860    0    0     0     0  364  308 99  1  0  0  0
90  0      0 15124676  24468 602860    0    0     0     0  357  311 100  0  0  0  0
90  0      0 15124688  24476 602860    0    0     0    24  364  319 100  0  0  0  0
84  0      0 15124688  24476 602868    0    0     0     0  343  310 100  0  0  0  0
77  0      0 15124688  24476 602872    0    0     0     0  376  313 99  1  0  0  0
79  0      0 15124688  24476 602876    0    0     0    16  359  325 100  0  0  0  0
73  0      0 15127620  24476 602668    0    0     0     0  374  334 100  0  0  0  0
84  0      0 15127648  24484 602636    0    0     0    16  359  324 99  1  0  0  0
86  0      0 15130696  24484 602644    0    0     0     0  369  317 99  1  0  0  0
87  0      0 15130696  24484 602648    0    0     0     0  361  324 100  0  0  0  0
80  0      0 15130696  24484 602652    0    0     0     0  343  326 100  0  0  0  0
74  0      0 15133608  24484 602652    0    0     0     0  397  336 99  1  0  0  0
77  0      0 15133620  24492 602616    0    0     0    16  373  324 100  0  0  0  0
74  0      0 15133620  24492 602624    0    0     0     0  348  308 100  0  0  0  0
76  0      0 15133364  24492 602628    0    0     0     0  370  331 100  0  0  0  0
76  0      0 15133596  24492 602632    0    0     0   100  380  330 99  1  0  0  0
77  0      0 15133620  24492 602636    0    0     0     0  377  333 100  0  0  0  0
75  0      0 15133620  24500 602628    0    0     0    24  355  333 100  0  0  0  0
75  0      0 15136612  24500 602496    0    0     0     0  387  378 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
79  0      0 15139800  24500 602452    0    0     0     0  391  325 100  0  0  0  0
79  0      0 15139844  24500 602440    0    0     0     0  361  329 100  0  0  0  0
94  0      0 15142756  24500 602444    0    0     0     0  371  328 100  0  0  0  0
91  0      0 15140340  24500 602444    0    0     0     0  347  311 99  1  0  0  0
79  0      0 15134368  24508 602448    0    0     0    48  391  327 100  0  0  0  0
82  0      0 15129608  24508 602740    0    0     0     0  354  324 100  0  0  0  0
79  0      0 15129592  24508 602772    0    0     0     0  364  316 100  0  0  0  0
86  0      0 15127568  24508 602776    0    0     0     0  358  312 100  0  0  0  0
90  0      0 15127568  24508 602776    0    0     0     0  354  312 100  0  0  0  0
93  0      0 15125148  24516 602780    0    0     0    16  375  331 100  0  0  0  0
84  0      0 15127576  24516 602780    0    0     0     0  359  317 100  0  0  0  0
84  0      0 15130556  24516 602784    0    0     0     8  375  330 100  0  0  0  0
80  0      0 15130564  24516 602724    0    0     0     0  331  308 100  0  0  0  0
70  0      0 15130564  24516 602728    0    0     0     0  381  315 100  0  0  0  0
77  0      0 15130564  24524 602724    0    0     0    24  354  320 100  0  0  0  0
75  0      0 15130564  24524 602736    0    0     0     0  391  330 100  0  0  0  0
74  0      0 15133476  24524 602740    0    0     0     0  341  325 100  0  0  0  0
75  0      0 15136536  24524 602708    0    0     0     0  380  322 100  0  0  0  0
84  0      0 15139448  24524 602712    0    0     0     0  405  344 100  0  0  0  0
87  0      0 15139460  24532 602684    0    0     0    16  362  323 100  0  0  0  0
96  0      0 15139460  24532 602696    0    0     0     0  356  318 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
84  0      0 15137032  24532 602696    0    0     0    48  358  317 100  0  0  0  0
