procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
78  0      0 15166380  24748 602056    0    0   191    55  153  149 21  3 72  3  0
100  0      0 15169180  24748 602032    0    0     0     0  391  323 100  0  0  0  0
100  0      0 15172224  24748 601908    0    0     0     0  268  299 99  1  0  0  0
100  0      0 15175272  24756 601852    0    0     0    72  299  322 100  0  0  0  0
95  0      0 15178320  24756 601864    0    0     0     0  286  304 100  0  0  0  0
33  0      0 15181528  24756 601716    0    0     0     0  531  368 99  1  0  0  0
59  0      0 15181528  24756 601716    0    0     0     0  322  294 100  0  0  0  0
63  0      0 15181528  24756 601720    0    0     0     0  349  290 100  0  0  0  0
55  0      0 15181528  24756 601724    0    0     0     4  357  309 100  0  0  0  0
53  0      0 15181528  24764 601728    0    0     0    16  367  324 100  0  0  0  0
56  0      0 15184460  24764 601664    0    0     0     0  391  350 100  0  0  0  0
63  0      0 15187508  24764 601664    0    0     0     0  359  309 100  0  0  0  0
72  0      0 15190564  24764 601624    0    0     0     0  358  309 100  0  0  0  0
72  0      0 15190564  24764 601624    0    0     0     0  344  319 100  0  0  0  0
67  0      0 15193664  24772 601448    0    0     0    16  389  348 98  2  0  0  0
53  0      0 15191236  24772 601452    0    0     0     0  367  326 100  0  0  0  0
65  0      0 15191236  24772 601456    0    0     0     0  352  306 100  0  0  0  0
69  0      0 15191236  24772 601460    0    0     0     0  380  305 100  0  0  0  0
77  0      0 15190732  24772 601460    0    0     0     0  336  314 100  0  0  0  0
77  0      0 15188188  24780 601464    0    0     0   116  362  332 99  1  0  0  0
70  0      0 15187808  24780 601468    0    0     0     0  368  325 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
62  0      0 15185264  24780 601472    0    0     0     0  372  315 100  0  0  0  0
