procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
83  0      0 12462084 318808 2264792    0    0     0     8 1271  537 80  1 19  0  0
222  0      0 12464512 318808 2264800    0    0     0     0 1708  559 100  0  0  0  0
169  0      0 12468064 318808 2264596    0    0     0     0 1832  807 100  0  0  0  0
127  0      0 12467756 318808 2264740    0    0     0    48 2363  766 99  1  0  0  0
224  0      0 12464740 318808 2264756    0    0     0     0 1533  583 100  0  0  0  0
204  0      0 12462028 318808 2264796    0    0     0     0 2164  733 100  0  0  0  0
225  0      0 12461112 318808 2264884    0    0     0     0 2156  580 98  2  0  0  0
226  0      0 12458784 318808 2264836    0    0     0     0 1749  677 100  0  0  0  0
230  0      0 12451588 318808 2265304    0    0     0    24 2207  650 98  2  0  0  0
238  0      0 12416776 318808 2266136    0    0     0     0 2123  575 96  4  0  0  0
255  0      0 12381192 318808 2267660    0    0     0     4 2001  703 98  2  0  0  0
256  0      0 12366564 318808 2267920    0    0     0     0 2520  690 99  1  0  0  0
256  0      0 12360672 318808 2267988    0    0     0     0 2526  680 100  0  0  0  0
194  0      0 12360528 318808 2267952    0    0     0    68 2164  810 98  2  0  0  0
210  0      0 12360496 318808 2267892    0    0     0     0 2310  664 100  0  0  0  0
122  0      0 12360784 318808 2267720    0    0     0     0 2610  877 94  6  0  0  0
26  0      0 12363832 318808 2267680    0    0     0     0 2499  975 93  6  1  0  0
172  0      0 12366684 318808 2267636    0    0     0     0 1332  986 95  5  0  0  0
66  1      0 12365732 318808 2267896    0    0     0    64 2139  634 99  1  0  0  0
245  0      0 12367020 318808 2267808    0    0     0     0 1705  690 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
97  0      0 12365512 318808 2268052    0    0     0     0 2421 1140 96  4  0  0  0
256  0      0 12363380 318808 2268060    0    0     0     0 1757  538 99  1  0  0  0
256  0      0 12360420 318808 2268080    0    0     0     0 2225  606 98  2  0  0  0
256  1      0 12360396 318808 2268156    0    0     0    64 1915  511 100  0  0  0  0
183  0      0 12360364 318808 2268172    0    0     0     0 2051  634 100  0  0  0  0
88  0      0 12360268 318808 2268180    0    0     0     0 2549  649 99  1  0  0  0
254  0      0 12360336 318808 2268192    0    0     0   352 2218  633 99  1  0  0  0
248  0      0 12360208 318808 2268188    0    0     0     0 2149  676 99  1  0  0  0
134  1      0 12360272 318808 2268200    0    0     0    48 2620  675 99  1  0  0  0
256  0      0 12360180 318808 2268116    0    0     0     0 2340  768 98  2  0  0  0
207  0      0 12363184 318808 2267956    0    0     0     0 2343  888 100  0  0  0  0
153  0      0 12363208 318808 2268032    0    0     0   112 2555  964 99  1  0  0  0
174  0      0 12368840 318808 2267892    0    0     0     0 2451 1039 99  1  0  0  0
86  1      0 12372556 318808 2267720    0    0     0   100 2273  941 99  0  1  0  0
135  0      0 12371680 318808 2267892    0    0     0     0 1630  574 100  0  0  0  0
243  0      0 12374936 318808 2267908    0    0     0     0 1764  668 98  2  0  0  0
187  0      0 12374884 318808 2267884    0    0     0     0 2207  840 96  4  0  0  0
254  0      0 12371708 318808 2267992    0    0     0     0 1906  587 99  1  0  0  0
