procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13162336 318800 2224508    0    0     0     0    0    1 58  0 42  0  0
 1  0      0 13162144 318800 2224516    0    0     0     0  652  417 29  1 70  0  0
 2  1      0 13162084 318800 2224520    0    0     0    80  785  487 37  1 62  0  0
 0  0      0 13162144 318800 2224528    0    0     0     0  905  537 47  0 53  0  0
 0  0      0 13162144 318800 2224532    0    0     0     0  829  470 42  1 57  0  0
 0  0      0 13162144 318800 2224540    0    0     0     0 1007  558 51  2 47  0  0
 1  0      0 13162144 318800 2224544    0    0     0     0  803  463 42  0 58  0  0
 0  1      0 13162144 318800 2224552    0    0     0    24  765  437 38  1 60  1  0
 3  0      0 13161772 318800 2224556    0    0     0     0  908  524 48  1 50  1  0
 1  0      0 13161744 318800 2224560    0    0     0     0  863  489 46  0 54  0  0
 1  0      0 13162144 318800 2224568    0    0     0     0  910  516 45  2 53  0  0
 0  0      0 13162144 318800 2224572    0    0     0     0  953  533 51  0 49  0  0
 2  0      0 13162144 318800 2224580    0    0     0     0  982  550 50  2 48  0  0
 3  0      0 13162144 318800 2224588    0    0     0    24  910  532 48  0 52  0  0
 2  0      0 13162144 318800 2224592    0    0     0     0  944  540 50  0 50  0  0
 2  0      0 13162144 318800 2224600    0    0     0     0 1049  568 55  1 44  0  0
 1  0      0 13162144 318800 2224604    0    0     0     0  832  501 43  2 55  0  0
 1  0      0 13162144 318800 2224612    0    0     0     0  785  488 40  1 59  0  0
 1  0      0 13162144 318800 2224616    0    0     0    24 1021  554 55  1 44  0  0
 3  0      0 13162144 318800 2224624    0    0     0     0 1102  597 57  3 40  0  0
 1  0      0 13159600 318800 2224632    0    0     0     0  959  568 47  1 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13159476 318800 2224640    0    0     0     0  980  538 51  0 49  0  0
 3  0      0 13162020 318800 2224648    0    0     0     0  925  527 49  0 51  0  0
 3  0      0 13159600 318800 2224652    0    0     0    24 1214  605 64  2 32  2  0
 0  0      0 13159600 318800 2224660    0    0     0     0  889  521 47  1 52  0  0
 3  0      0 13159600 318800 2224668    0    0     0     0  768  467 39  0 61  0  0
 0  0      0 13156560 318800 2224672    0    0     0     0  985  536 50  1 49  0  0
 3  0      0 13158980 318800 2224680    0    0     0     0  928  509 47  1 52  0  0
 0  0      0 13156560 318800 2224684    0    0     0    96  781  457 38  1 59  2  0
