procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 13113428 318804 2237404    0    0     0     0 1186  555 64  0 36  0  0
 6  0      0 13116284 318804 2237388    0    0     0    72 1357  649 70  2 27  1  0
 8  0      0 13119268 318804 2237400    0    0     0     0 1569  720 86  2 12  0  0
 0  0      0 13122460 318804 2237184    0    0     0     0 1459  667 77  2 21  0  0
12  0      0 13120128 318804 2237200    0    0     0     0 1723  646 95  2  3  0  0
14  0      0 13114068 318804 2237252    0    0     0     0 1790  657 97  0  3  0  0
 2  0      0 13101916 318804 2237480    0    0     0    32 1727  721 98  1  1  0  0
17  0      0 13104308 318804 2237516    0    0     0     0 1731  632 94  2  4  0  0
 8  0      0 13101916 318804 2237528    0    0     0     0 1672  691 92  1  7  0  0
16  0      0 13104320 318804 2237544    0    0     0     0 1464  655 81  0 19  0  0
18  0      0 13101792 318804 2237552    0    0     0     0 1760  684 93  2  5  0  0
13  0      0 13104184 318804 2237568    0    0     0     0 1508  674 84  2 14  0  0
18  0      0 13101948 318804 2237576    0    0     0   300 1880  659 99  1  0  0  0
20  0      0 13095584 318804 2237728    0    0     0     0 1819  640 99  1  0  0  0
21  0      0 13083432 318804 2238128    0    0     0     0 1762  657 99  1  0  0  0
22  0      0 13085756 318804 2238156    0    0     0     0 1814  706 97  1  2  0  0
16  0      0 13088740 318804 2238168    0    0     0     0 1821  698 98  0  2  0  0
14  0      0 13091716 318804 2238180    0    0     0    48 1698  693 93  1  6  0  0
22  0      0 13089388 318804 2238192    0    0     0     0 1787  685 97  1  2  0  0
 8  0      0 13091712 318804 2238204    0    0     0     0 1732  705 93  1  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 13091716 318804 2238216    0    0     0     0 1700  644 91  1  8  0  0
22  0      0 13089108 318804 2238228    0    0     0     0 1637  653 91  0  9  0  0
13  0      0 13083060 318804 2238244    0    0     0   112 1859  689 98  2  0  0  0
28  0      0 13070868 318804 2238600    0    0     0     0 1762  652 96  1  3  0  0
27  0      0 13073352 318804 2238656    0    0     0     0 1735  705 94  2  4  0  0
28  0      0 13070900 318804 2238668    0    0     0     0 1932  629 100  0  0  0  0
30  0      0 13064700 318804 2238824    0    0     0     0 1831  628 99  1  0  0  0
30  0      0 13064668 318804 2238880    0    0     0    44 1827  692 100  0  0  0  0
29  0      0 13067092 318804 2238896    0    0     0     0 1850  656 100  0  0  0  0
26  0      0 13070036 318804 2238908    0    0     0     0 1798  757 96  2  2  0  0
 8  0      0 13073108 318804 2238920    0    0     0     0 1766  730 95  2  3  0  0
 0  0      0 13076236 318804 2238792    0    0     0     0 1665  704 91  0  9  0  0
19  0      0 13073660 318804 2238800    0    0     0    40 1722  628 92  2  6  0  0
 4  0      0 13076236 318804 2238812    0    0     0     0 1796  746 95  2  3  0  0
17  0      0 13079028 318804 2238828    0    0     0     0 1727  704 92  5  3  0  0
22  0      0 13082020 318804 2238844    0    0     0     0 1623  671 91  1  8  0  0
10  0      0 13079772 318804 2238848    0    0     0     0 1711  684 88  5  7  0  0
22  0      0 13073628 318804 2238860    0    0     0    32 1539  663 84  3 13  0  0
31  0      0 13061472 318804 2239084    0    0     0     0 1889  631 98  2  0  0  0
 2  0      0 13036944 318804 2239904    0    0     0     0 1757  663 94  1  5  0  0
10  0      0 13039180 318804 2239912    0    0     0     0 1445  674 80  0 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 13042232 318804 2239924    0    0     0     0 1602  757 87  3 10  0  0
36  0      0 13045104 318804 2239940    0    0     0   400 1826  648 99  1  0  0  0
37  0      0 13042744 318804 2239952    0    0     0     0 1934  641 100  0  0  0  0
