procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 13060476 318840 2324052    0    0     0     0 1698  648 94  0  6  0  0
 5  0      0 13054392 318840 2324076    0    0     0     0 1888  616 98  2  0  0  0
 9  0      0 13042140 318840 2324268    0    0     0     0 1924  649 99  1  0  0  0
17  0      0 13017380 318840 2325056    0    0     0     0 1999  637 98  2  0  0  0
32  0      0 12968104 318840 2326596    0    0     0    40 1854  606 94  6  0  0  0
65  0      0 12869620 318840 2329884    0    0     0     0 1912  612 96  4  0  0  0
82  0      0 12779616 318840 2333220    0    0     0     0 1958  604 93  7  0  0  0
121  0      0 12759576 318840 2335812    0    0     0     0 2122  612 98  2  0  0  0
129  0      0 12672844 318840 2336752    0    0     0    60 2114  592 97  3  0  0  0
149  0      0 12614160 318840 2338816    0    0     0    24 2124  630 96  4  0  0  0
161  0      0 12579324 318840 2340192    0    0     0     0 2147  620 98  2  0  0  0
162  0      0 12572992 318840 2340328    0    0     0     0 2174  628 98  2  0  0  0
190  0      0 12502704 318840 2343380    0    0     0     0 2605  669 97  3  0  0  0
17  0      0 12474076 318840 2343844    0    0     0     0 2829  727 98  2  0  0  0
217  0      0 12454204 318840 2346572    0    0     0    24 2609  659 99  1  0  0  0
225  0      0 12376496 318840 2347444    0    0     0     0 2650  713 98  2  0  0  0
243  0      0 12338484 318840 2349312    0    0     0     0 2667  714 97  3  0  0  0
256  0      0 12316472 318840 2350716    0    0     0     0 2631  700 97  3  0  0  0
256  0      0 12282324 318840 2350880    0    0     0     0 2528  713 98  2  0  0  0
198  0      0 12279220 318840 2350908    0    0     0    24 2732  727 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
256  0      0 12279032 318840 2350928    0    0     0     0 2865  727 99  1  0  0  0
256  0      0 12279128 318840 2350944    0    0     0     0 2547  697 100  0  0  0  0
256  0      0 12278972 318840 2350964    0    0     0     0 2616  715 99  1  0  0  0
256  0      0 12278812 318840 2350980    0    0     0     0 2773  737 99  1  0  0  0
183  0      0 12278812 318840 2351000    0    0     0    24 2865  739 97  3  0  0  0
256  0      0 12278908 318840 2351012    0    0     0     0 2627  685 99  1  0  0  0
256  0      0 12278972 318840 2351032    0    0     0     0 2743  721 100  0  0  0  0
235  0      0 12278816 318840 2351048    0    0     0     0 2879  730 99  1  0  0  0
199  0      0 12278784 318840 2351056    0    0     0    24 2682  697 100  0  0  0  0
256  0      0 12278848 318840 2351080    0    0     0    60 2598  693 98  2  0  0  0
256  0      0 12278592 318840 2351100    0    0     0     0 2756  733 99  1  0  0  0
256  0      0 12278720 318840 2351112    0    0     0     0 2697  706 100  0  0  0  0
256  0      0 12278724 318840 2351128    0    0     0     0 2586  712 97  3  0  0  0
256  0      0 12278628 318840 2351148    0    0     0   504 2780  722 99  1  0  0  0
199  0      0 12278724 318840 2351168    0    0     0    44 2689  735 99  1  0  0  0
223  0      0 12278500 318840 2351180    0    0     0     0 2737  705 100  0  0  0  0
256  0      0 12278724 318840 2351200    0    0     0     0 2586  701 100  0  0  0  0
254  0      0 12278472 318840 2351220    0    0     0     0 2895  740 98  2  0  0  0
245  0      0 12278504 318840 2351232    0    0     0     0 2745  713 99  1  0  0  0
253  0      0 12278568 318840 2351248    0    0     0     0 2671  724 96  4  0  0  0
251  0      0 12278664 318840 2351268    0    0     0    24 2756  742 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
251  0      0 12278504 318840 2351288    0    0     0     0 2813  742 99  1  0  0  0
250  0      0 12278568 318840 2351308    0    0     0     0 2735  725 100  0  0  0  0
248  0      0 12278476 318840 2351328    0    0     0     0 2547  691 99  1  0  0  0
244  0      0 12278252 318840 2351344    0    0     0    48 2860  741 99  1  0  0  0
242  0      0 12278476 318840 2351360    0    0     0    24 2708  753 99  1  0  0  0
240  0      0 12278380 318840 2351376    0    0     0     0 2734  720 99  1  0  0  0
240  0      0 12278412 318840 2351396    0    0     0     0 2709  715 99  1  0  0  0
239  0      0 12278416 318840 2351412    0    0     0     0 2701  722 100  0  0  0  0
239  0      0 12278256 318840 2351428    0    0     0     0 2829  740 99  1  0  0  0
237  0      0 12278384 318840 2351444    0    0     0    24 2612  734 99  1  0  0  0
238  0      0 12278384 318840 2351460    0    0     0     0 2710  721 98  2  0  0  0
236  0      0 12278256 318840 2351484    0    0     0     0 2680  698 100  0  0  0  0
236  0      0 12278004 318840 2351504    0    0     0     0 2944  740 100  0  0  0  0
236  0      0 12278132 318840 2351520    0    0     0     0 2792  722 99  1  0  0  0
184  0      0 12278100 318840 2351528    0    0     0    24 2713  715 98  2  0  0  0
