procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13163612 318800 2223316    0    0     0     0    0    1 58  0 42  0  0
 0  0      0 13163644 318800 2223328    0    0     0    16  562  387 28  0 72  0  0
 0  0      0 13163644 318800 2223332    0    0     0     0  634  393 32  0 68  0  0
 0  0      0 13163644 318800 2223336    0    0     0     0  673  439 33  0 67  0  0
 0  0      0 13163644 318800 2223340    0    0     0     0  858  487 44  2 54  0  0
 0  0      0 13163644 318800 2223344    0    0     0    60  798  508 40  0 60  0  0
 2  0      0 13163644 318800 2223352    0    0     0     0  813  493 39  2 59  0  0
 0  0      0 13160976 318800 2223356    0    0     0     0  935  522 49  1 50  0  0
 0  0      0 13160976 318800 2223364    0    0     0     0  964  568 50  1 49  0  0
 0  0      0 13163272 318800 2223368    0    0     0     0  753  470 37  1 62  0  0
 1  0      0 13163272 318800 2223372    0    0     0    24  811  510 40  0 60  0  0
 0  0      0 13163272 318800 2223380    0    0     0    80  856  513 44  0 56  0  0
 1  0      0 13163272 318800 2223384    0    0     0     0  889  506 44  2 54  0  0
 0  0      0 13163272 318800 2223388    0    0     0     0  803  463 42  0 58  0  0
 1  0      0 13163272 318800 2223396    0    0     0     0  872  477 47  0 53  0  0
 2  0      0 13163272 318800 2223404    0    0     0    24  830  519 42  0 56  2  0
 0  0      0 13163272 318800 2223408    0    0     0     0  742  468 35  2 63  0  0
 0  0      0 13163272 318800 2223412    0    0     0     0  818  499 41  0 59  0  0
 0  0      0 13160728 318800 2223420    0    0     0     0  722  457 35  1 64  0  0
 3  0      0 13160728 318800 2223424    0    0     0     0  756  461 38  1 61  0  0
 0  0      0 13160728 318800 2223428    0    0     0    24  764  488 38  1 60  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13160728 318800 2223432    0    0     0     0  822  491 42  1 57  0  0
 1  0      0 13163272 318800 2223436    0    0     0     0  709  426 36  1 63  0  0
 3  0      0 13160728 318800 2223444    0    0     0     0  950  546 49  1 49  0  0
 0  0      0 13163148 318800 2223452    0    0     0     0  923  526 47  1 52  0  0
 0  0      0 13163148 318800 2223456    0    0     0    24  816  497 43  1 56  0  0
 0  0      0 13163148 318800 2223460    0    0     0     8  820  466 41  1 58  0  0
 1  0      0 13163148 318800 2223468    0    0     0     0  940  532 51  1 48  0  0
 0  0      0 13163148 318800 2223472    0    0     0     0  876  489 46  0 54  0  0
 1  0      0 13163148 318800 2223480    0    0     0     0 1132  606 63  0 37  0  0
 2  0      0 13163148 318800 2223484    0    0     0    36  800  510 40  0 58  2  0
 1  0      0 13163148 318800 2223492    0    0     0   180  854  473 46  1 53  0  0
 1  0      0 13160696 318800 2223496    0    0     0     0  915  522 48  0 52  0  0
 2  0      0 13163148 318800 2223504    0    0     0     0  881  476 47  0 53  0  0
 2  0      0 13163148 318800 2223508    0    0     0     0  816  481 40  3 57  0  0
 0  0      0 13163024 318800 2223516    0    0     0    56  685  460 36  0 62  2  0
 0  0      0 13163024 318800 2223520    0    0     0     0  755  466 36  1 63  0  0
 1  0      0 13163024 318800 2223528    0    0     0     4  798  461 41  1 58  0  0
