procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13161244 318800 2225712    0    0     0     0    0    1 58  0 42  0  0
 0  0      0 13161276 318800 2225716    0    0     0     0  904  518 47  0 53  0  0
 0  0      0 13161276 318800 2225724    0    0     0     0  984  548 50  1 49  0  0
 1  0      0 13158608 318800 2225732    0    0     0     8 1180  571 60  4 36  0  0
 0  0      0 13160844 318800 2225740    0    0     0     0  885  516 45  0 55  0  0
 1  0      0 13160872 318800 2225744    0    0     0    52  977  540 50  1 49  0  0
 0  0      0 13158484 318800 2225752    0    0     0     0  948  562 49  1 50  0  0
 0  0      0 13160844 318800 2225756    0    0     0     0 1009  557 50  1 49  0  0
 0  0      0 13160904 318800 2225764    0    0     0    12 1056  600 54  0 46  0  0
 0  0      0 13160904 318800 2225772    0    0     0     0 1068  556 55  1 44  0  0
 2  0      0 13158484 318800 2225780    0    0     0    32 1015  558 52  1 46  1  0
 0  0      0 13160844 318800 2225784    0    0     0     0 1056  530 54  1 45  0  0
 2  0      0 13160904 318800 2225792    0    0     0     0  997  520 52  2 46  0  0
 1  0      0 13158360 318800 2225796    0    0     0     0  876  510 41  2 57  0  0
 0  0      0 13158360 318800 2225804    0    0     0     0  989  546 52  1 47  0  0
 1  0      0 13160720 318800 2225812    0    0     0    24  855  529 43  1 55  1  0
 0  0      0 13160780 318800 2225816    0    0     0     0  978  539 50  2 48  0  0
 0  0      0 13160780 318800 2225824    0    0     0     0 1007  565 53  0 47  0  0
 3  0      0 13158484 318800 2225828    0    0     0     0 1115  590 58  2 40  0  0
 0  0      0 13152528 318800 2225836    0    0     0    76 1189  635 61  2 37  0  0
 0  0      0 13154820 318800 2225844    0    0     0    24  974  550 51  0 48  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 13152404 318800 2225852    0    0     0     0 1227  616 66  0 34  0  0
 1  0      0 13152404 318800 2225864    0    0     0     0 1188  612 65  1 34  0  0
 1  0      0 13154764 318800 2225872    0    0     0     0 1037  565 53  2 45  0  0
 1  0      0 13154824 318800 2225876    0    0     0     0 1057  544 56  0 44  0  0
