procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13154768 318804 2232128    0    0     0     0    0    1 58  0 42  0  0
 2  0      0 13154812 318804 2232136    0    0     0     0  963  505 48  1 51  0  0
 1  0      0 13154688 318804 2232144    0    0     0    72 1304  668 71  0 29  0  0
 2  0      0 13151896 318804 2232156    0    0     0     0 1333  607 71  2 27  0  0
 5  0      0 13146064 318804 2232164    0    0     0     0 1671  683 90  3  7  0  0
 0  0      0 13133640 318804 2232452    0    0     0    16 1480  682 82  2 16  0  0
17  0      0 13108948 318804 2233268    0    0     0     0 1774  636 97  3  0  0  0
 4  0      0 13111612 318804 2233288    0    0     0    44 1150  612 59  2 37  2  0
 1  0      0 13114504 318804 2233296    0    0     0     0 1344  607 73  1 26  0  0
 4  0      0 13117476 318804 2233304    0    0     0     0 1545  673 83  4 13  0  0
 8  0      0 13120672 318804 2233172    0    0     0     0 1535  698 85  0 15  0  0
 0  0      0 13123672 318804 2233100    0    0     0     0 1477  670 80  2 18  0  0
 1  0      0 13121300 318804 2233096    0    0     0    24 1382  653 75  1 24  0  0
 0  0      0 13123716 318804 2233108    0    0     0     0 1292  630 69  1 30  0  0
 0  0      0 13126576 318804 2233116    0    0     0     0 1449  676 79  1 20  0  0
 9  0      0 13129616 318804 2233128    0    0     0     8 1407  659 76  2 22  0  0
 6  0      0 13132748 318804 2232924    0    0     0     0 1487  679 82  2 16  0  0
 6  0      0 13135936 318804 2232800    0    0     0    36 1450  701 79  0 19  2  0
 0  0      0 13138896 318804 2232780    0    0     0     0 1473  685 82  1 17  0  0
 8  0      0 13136600 318804 2232772    0    0     0     0 1705  656 94  1  5  0  0
 4  0      0 13130488 318804 2232780    0    0     0    84 1505  690 81  3 16  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 13132816 318804 2232816    0    0     0     0 1441  640 79  1 20  0  0
 0  0      0 13132816 318804 2232832    0    0     0    24 1362  664 75  0 25  0  0
 4  0      0 13130272 318804 2232840    0    0     0     0 1369  671 76  0 24  0  0
 8  0      0 13124212 318804 2232920    0    0     0     0 1479  642 79  4 17  0  0
 3  0      0 13126740 318804 2232988    0    0     0     0 1407  672 76  1 23  0  0
12  0      0 13124368 318804 2233000    0    0     0   260 1580  632 86  0 14  0  0
 5  0      0 13124244 318804 2233008    0    0     0    36 1505  696 85  0 15  0  0
12  0      0 13126728 318804 2233020    0    0     0     0 1439  667 76  3 21  0  0
