procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 13075752 318836 2302772    0    0     0     0 1922  650 98  2  0  0  0
 9  0      0 13063704 318836 2302944    0    0     0     0 1998  625 99  1  0  0  0
17  0      0 13038660 318836 2303816    0    0     0     0 2285  599 97  3  0  0  0
17  0      0 12989564 318836 2305392    0    0     0    40 1957  587 97  3  0  0  0
65  0      0 12905000 318836 2308652    0    0     0     8 2114  584 97  3  0  0  0
88  0      0 12880224 318836 2310984    0    0     0     0 2175  598 96  4  0  0  0
65  0      0 12792288 318836 2312140    0    0     0     0 2156  607 98  2  0  0  0
127  0      0 12726572 318836 2315196    0    0     0     0 2298  614 98  2  0  0  0
106  0      0 12693032 318836 2315628    0    0     0    36 2268  594 96  4  0  0  0
156  0      0 12626332 318836 2318492    0    0     0     8 2271  615 96  4  0  0  0
161  0      0 12594300 318836 2319152    0    0     0     0 2529  654 99  1  0  0  0
158  0      0 12548956 318836 2322324    0    0     0     0 2898  703 95  5  0  0  0
193  0      0 12498304 318836 2322676    0    0     0     0 2774  686 97  3  0  0  0
166  0      0 12430788 318836 2325624    0    0     0    36 2978  736 96  4  0  0  0
225  0      0 12412296 318836 2326244    0    0     0    64 2694  664 97  3  0  0  0
246  0      0 12386380 318836 2328400    0    0     0     0 2915  697 97  3  0  0  0
250  0      0 12332872 318836 2328996    0    0     0     0 3004  729 97  3  0  0  0
256  0      0 12303192 318836 2329724    0    0     0     0 2711  686 97  3  0  0  0
256  0      0 12300152 318836 2329748    0    0     0    24 2983  730 98  2  0  0  0
256  0      0 12299904 318836 2329764    0    0     0     0 2882  715 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
257  0      0 12299872 318836 2329780    0    0     0     0 3013  755 97  3  0  0  0
256  0      0 12299684 318836 2329796    0    0     0     0 2998  722 99  1  0  0  0
256  0      0 12299716 318836 2329812    0    0     0     0 2881  715 100  0  0  0  0
170  0      0 12299748 318836 2329824    0    0     0    24 3106  736 100  0  0  0  0
211  0      0 12299652 318836 2329844    0    0     0     0 3056  735 98  2  0  0  0
255  0      0 12299748 318836 2329864    0    0     0     0 2783  676 99  1  0  0  0
256  0      0 12299844 318836 2329876    0    0     0     0 3026  708 99  1  0  0  0
256  0      0 12299592 318836 2329896    0    0     0     0 3079  742 99  1  0  0  0
253  0      0 12299592 318836 2329916    0    0     0    24 2881  695 100  0  0  0  0
256  0      0 12299656 318836 2329936    0    0     0   448 2960  718 99  1  0  0  0
190  0      0 12299560 318836 2329948    0    0     0     0 2998  736 99  1  0  0  0
256  0      0 12299624 318836 2329968    0    0     0     0 3195  721 98  2  0  0  0
250  0      0 12299372 318836 2329988    0    0     0     0 2917  698 99  1  0  0  0
97  0      0 12299372 318836 2329996    0    0     0    48 3142  770 100  0  0  0  0
250  0      0 12299468 318836 2330016    0    0     0    12 3014  671 100  0  0  0  0
256  0      0 12299500 318836 2330036    0    0     0     0 2900  707 99  1  0  0  0
129  0      0 12299468 318836 2330044    0    0     0     0 2955  713 97  3  0  0  0
241  0      0 12299468 318836 2330068    0    0     0     0 3007  702 100  0  0  0  0
254  1      0 12299376 318836 2330088    0    0     0    44 3128  761 99  1  0  0  0
253  0      0 12299408 318836 2330104    0    0     0     8 2790  726 98  2  0  0  0
250  0      0 12299408 318836 2330120    0    0     0     0 3002  751 98  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
163  0      0 12299376 318836 2330132    0    0     0     0 2983  768 100  0  0  0  0
247  0      0 12299252 318836 2330156    0    0     0     0 2933  742 99  1  0  0  0
246  0      0 12299316 318836 2330176    0    0     0     0 2849  745 96  4  0  0  0
246  0      0 12299008 318836 2330188    0    0     0    40 2900  922 84 16  0  0  0
246  0      0 12298816 318836 2330208    0    0     0     0 2909  763 96  4  0  0  0
241  0      0 12298724 318836 2330228    0    0     0     0 3083  751 98  2  0  0  0
241  0      0 12298756 318836 2330244    0    0     0     0 2958  710 98  2  0  0  0
241  0      0 12298820 318836 2330260    0    0     0     0 2928  732 98  2  0  0  0
213  0      0 12298564 318836 2330276    0    0     0    64 3250  755 99  1  0  0  0
240  0      0 12298080 318836 2330292    0    0     0    88 2981  828 100  0  0  0  0
236  0      0 12298664 318836 2330308    0    0     0     0 2824  792 96  4  0  0  0
235  0      0 12298728 318836 2330324    0    0     0     0 2974  723 98  2  0  0  0
233  0      0 12298696 318836 2330344    0    0     0     0 2982  741 100  0  0  0  0
