procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13165432 318796 2221452    0    0     0     0    0    1 58  0 42  0  0
 0  0      0 13165488 318796 2221460    0    0     0    76  492  338 20  1 78  1  0
 0  0      0 13165488 318796 2221464    0    0     0     0  403  305 18  0 82  0  0
 0  0      0 13165488 318796 2221464    0    0     0     0  537  365 24  0 76  0  0
 0  0      0 13165488 318796 2221468    0    0     0     0  398  296 19  0 81  0  0
 0  0      0 13165488 318796 2221472    0    0     0     0  416  313 18  2 80  0  0
 2  0      0 13165488 318796 2221472    0    0     0    24  585  392 29  0 70  1  0
 0  0      0 13165488 318796 2221476    0    0     0     8  488  342 22  0 78  0  0
 1  0      0 13165488 318796 2221480    0    0     0     0  505  355 23  1 76  0  0
 0  0      0 13165488 318796 2221484    0    0     0     0  450  307 20  2 78  0  0
 0  0      0 13165488 318796 2221484    0    0     0     0  407  299 18  0 82  0  0
 0  0      0 13165488 318796 2221488    0    0     0    32  556  361 26  0 72  2  0
 0  0      0 13165488 318796 2221492    0    0     0     0  521  346 23  1 76  0  0
 1  0      0 13165488 318796 2221492    0    0     0     8  420  293 20  0 80  0  0
 0  0      0 13165488 318796 2221496    0    0     0     0  447  310 19  0 81  0  0
 0  0      0 13165488 318796 2221500    0    0     0     0  538  366 26  0 74  0  0
 0  0      0 13165488 318796 2221500    0    0     0    36  321  272 13  1 83  3  0
 1  0      0 13165488 318796 2221504    0    0     0     0  309  232 14  0 86  0  0
 0  0      0 13162696 318796 2221508    0    0     0     0  706  448 35  1 64  0  0
 0  0      0 13165116 318796 2221508    0    0     0     0  383  259 16  0 84  0  0
 0  0      0 13165116 318796 2221512    0    0     0     0  457  311 23  1 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13165116 318796 2221516    0    0     0    24  444  315 21  1 77  1  0
 0  0      0 13165116 318796 2221516    0    0     0     0  532  381 25  0 75  0  0
