procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 14820688 147080 898384    0    0    69    56  208  177 37  1 60  1  0
 1  0      0 14823488 147080 898388    0    0     0     0  159  124 21  0 79  0  0
 1  0      0 14826824 147080 897964    0    0     0     0  135   95 20  0 80  0  0
 1  0      0 14829816 147080 897964    0    0     0     0  149   99 20  0 80  0  0
 1  0      0 14832944 147080 897928    0    0     0     0  142  106 21  0 79  0  0
 1  0      0 14835868 147088 897920    0    0     0    32  160  119 20  0 79  1  0
 1  0      0 14839048 147088 897804    0    0     0     0  144  107 20  0 80  0  0
 1  0      0 14842320 147088 897592    0    0     0     0  150  110 20  0 80  0  0
 1  0      0 14845384 147088 897432    0    0     0     0  138  106 20  0 80  0  0
 1  0      0 14848432 147088 897432    0    0     0     0  155  109 20  0 80  0  0
 1  0      0 14851520 147096 897376    0    0     0    16  143  114 20  0 79  1  0
 1  0      0 14854660 147096 897092    0    0     0    60  167  116 21  0 79  0  0
 2  0      0 14857820 147096 897032    0    0     0     0  154  112 20  0 80  0  0
 1  0      0 14860940 147096 896956    0    0     0     0  150   98 20  1 79  0  0
 1  0      0 14863996 147096 896820    0    0     0     0  141  102 20  0 80  0  0
 1  0      0 14867260 147104 896596    0    0     0    16  159  116 20  0 77  3  0
 2  0      0 14870340 147104 896560    0    0     0     0  142  107 20  0 80  0  0
 1  0      0 14873264 147104 896560    0    0     0     0  146   98 21  0 79  0  0
 1  0      0 14876468 147104 896396    0    0     0     0  136  100 20  0 80  0  0
 1  0      0 14879460 147104 896328    0    0     0     0  158  109 20  0 80  0  0
 1  0      0 14882804 147112 896032    0    0     0    16  140  119 20  0 79  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14885852 147112 896032    0    0     0     0  160  117 21  0 79  0  0
 1  0      0 14888800 147112 895988    0    0     0     0  139  101 20  0 80  0  0
 1  0      0 14891848 147112 895988    0    0     0     0  149  107 20  1 79  0  0
 1  0      0 14895208 147112 895636    0    0     0     0  150  116 21  0 79  0  0
 1  0      0 14898272 147120 895628    0    0     0    16  156  117 20  0 78  2  0
 1  0      0 14901508 147120 895396    0    0     0    16  148  113 20  0 80  0  0
 1  0      0 14904456 147120 895396    0    0     0     0  153  108 20  0 80  0  0
 1  0      0 14907528 147120 895328    0    0     0     0  137  101 21  0 79  0  0
 1  0      0 14910816 147120 895112    0    0     0     0  164  113 20  0 80  0  0
 1  0      0 14913772 147128 895024    0    0     0    24  144  115 20  0 78  2  0
 1  0      0 14916956 147128 894888    0    0     0    12  155  121 21  1 78  0  0
 1  0      0 14920048 147128 894728    0    0     0     0  151  118 20  0 80  0  0
 1  0      0 14923312 147128 894512    0    0     0     0  156  100 21  0 79  0  0
 1  0      0 14926408 147128 894440    0    0     0     0  147  108 21  0 79  0  0
 1  0      0 14929488 147136 894432    0    0     0    36  160  120 22  0 76  2  0
 1  0      0 14932436 147136 894364    0    0     0     0  146  107 20  1 79  0  0
 1  0      0 14935484 147136 894284    0    0     0     0  153  104 21  0 79  0  0
 1  0      0 14938892 147136 893976    0    0     0     0  140   98 21  0 79  0  0
 1  0      0 14941980 147136 893840    0    0     0     0  156  112 22  0 78  0  0
 1  0      0 14945084 147144 893728    0    0     0    16  146  119 20  1 78  1  0
 1  0      0 14948132 147144 893728    0    0     0     0  152  106 22  0 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14951524 147144 893356    0    0     0     0  148  111 21  0 79  0  0
 1  0      0 14954448 147144 893356    0    0     0     0  151  103 21  0 79  0  0
 1  0      0 14957676 147144 893164    0    0     0     0  140  105 20  0 80  0  0
 1  0      0 14960804 147152 893016    0    0     0    16  160  116 21  1 76  2  0
 1  0      0 14963804 147152 892976    0    0     0     0  144  106 21  0 79  0  0
 1  0      0 14967092 147152 892668    0    0     0    28  155  102 21  0 79  0  0
 1  0      0 14970228 147152 892612    0    0     0     0  135  104 21  0 79  0  0
 1  0      0 14973356 147152 892508    0    0     0     0  157  112 20  0 80  0  0
 1  0      0 14976280 147160 892500    0    0     0    16  148  116 20  0 77  3  0
 1  0      0 14979796 147160 892012    0    0     0     0  153  112 20  0 80  0  0
 1  0      0 14982860 147160 892012    0    0     0     0  139  109 21  1 78  0  0
 1  0      0 14985824 147160 891944    0    0     0     0  154  106 20  0 80  0  0
 1  0      0 14988872 147160 891944    0    0     0     0  149  112 20  0 80  0  0
 1  0      0 14992176 147168 891664    0    0     0    16  154  121 21  0 78  1  0
 1  0      0 14995236 147168 891596    0    0     0     0  143  108 20  1 79  0  0
 1  0      0 14998500 147168 891296    0    0     0    20  155  111 20  0 80  0  0
 1  0      0 15001636 147168 891228    0    0     0     0  139  100 20  1 79  0  0
 1  0      0 15004772 147168 891080    0    0     0     0  161  113 20  1 79  0  0
 1  0      0 15007960 147176 890764    0    0     0    24  152  123 20  0 78  2  0
 1  0      0 15011056 147176 890760    0    0     0     0  156  112 20  0 80  0  0
 1  0      0 15014104 147176 890760    0    0     0     8  137  102 21  0 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15017224 147176 890544    0    0     0     0  143   99 20  0 80  0  0
 1  0      0 15020552 147176 890232    0    0     0     0  145  106 21  0 79  0  0
 1  0      0 15023600 147184 890224    0    0     0    24  157  119 20  0 78  2  0
 1  0      0 15026728 147184 890108    0    0     0     0  140  112 20  1 79  0  0
 1  0      0 15029652 147184 890108    0    0     0     0  150  104 20  0 80  0  0
 1  0      0 15032756 147184 890032    0    0     0     0  137  106 20  0 80  0  0
 1  0      0 15036124 147184 889736    0    0     0     0  154  111 21  0 79  0  0
 1  0      0 15039376 147192 889480    0    0     0    16  145  117 20  0 78  2  0
 1  0      0 15042572 147192 889252    0    0     0     0  155  118 20  0 80  0  0
 1  0      0 15045672 147192 889120    0    0     0     0  142  108 20  1 79  0  0
 1  0      0 15049024 147192 888760    0    0     0     0  150  104 20  0 80  0  0
 1  0      0 15052232 147192 888616    0    0     0     0  146  103 20  1 79  0  0
 1  0      0 15055320 147200 888512    0    0     0    16  153  115 20  1 78  1  0
 1  0      0 15058496 147200 888416    0    0     0     0  145  114 21  0 79  0  0
 1  0      0 15061628 147200 888280    0    0     0     0  151  107 20  0 80  0  0
 1  0      0 15065012 147200 887960    0    0     0     0  138  101 20  0 80  0  0
 1  0      0 15065012 147200 887960    0    0     0     0  155  104 20  0 80  0  0
 1  0      0 15065012 147208 887952    0    0     0    16  143  111 20  0 79  1  0
 1  0      0 15065012 147208 887956    0    0     0     0  151   95 20  0 80  0  0
 1  0      0 15065012 147208 887956    0    0     0    16  134   91 20  1 79  0  0
 1  0      0 15065012 147208 887956    0    0     0     0  146   96 20  0 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15065012 147208 887956    0    0     0     0  145  104 20  0 80  0  0
 1  0      0 15065012 147216 887960    0    0     0    16  155  103 21  0 76  3  0
 1  0      0 15065012 147216 887960    0    0     0     0  142   98 21  0 79  0  0
 1  0      0 15065012 147216 887960    0    0     0     0  151   96 21  0 79  0  0
 1  0      0 15065012 147216 887960    0    0     0    20  135   95 21  0 79  0  0
 1  0      0 15065012 147216 887964    0    0     0     0  153   98 20  0 80  0  0
 1  0      0 15065012 147224 887956    0    0     0    24  140  104 21  0 77  2  0
 1  0      0 15065012 147224 887964    0    0     0     0  154  103 21  0 79  0  0
 1  0      0 15065012 147224 887964    0    0     0     0  137   97 21  0 79  0  0
 1  0      0 15065012 147224 887964    0    0     0     8  143   96 21  0 79  0  0
 1  0      0 15065012 147224 887968    0    0     0     0  137   90 20  1 79  0  0
 1  0      0 15065012 147232 887960    0    0     0    24  158  109 21  0 77  2  0
 1  0      0 15065012 147232 887968    0    0     0     0  134   93 20  0 80  0  0
