procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 15059716 148636 889128    0    0    62    51  220  177 39  1 59  1  0
 3  0      0 15059724 148636 889132    0    0     0     0  506  288 100  0  0  0  0
 4  0      0 15056652 148636 889136    0    0     0     0  498  287 100  0  0  0  0
 4  0      0 15056528 148644 889164    0    0     0    56  506  337 100  0  0  0  0
 5  0      0 15053672 148644 889168    0    0     0     0  494  366 100  0  0  0  0
 5  0      0 15053672 148644 889224    0    0     0     0  500  358 100  0  0  0  0
 5  0      0 15053672 148644 889228    0    0     0     0  505  378 100  0  0  0  0
 6  0      0 15050436 148644 889296    0    0     0    56  494  371 100  0  0  0  0
 6  0      0 15050436 148652 889304    0    0     0    24  494  375 100  0  0  0  0
 6  0      0 15050436 148652 889308    0    0     0     0  506  372 100  0  0  0  0
 7  0      0 15047324 148652 889376    0    0     0     0  495  363 100  0  0  0  0
 7  0      0 15041356 148652 889540    0    0     0     0  513  377 100  0  0  0  0
 9  0      0 15041232 148652 889564    0    0     0     4  491  372 98  2  0  0  0
 9  0      0 15038120 148660 889636    0    0     0    16  521  394 100  0  0  0  0
10  0      0 15038120 148660 889656    0    0     0     0  496  379 100  0  0  0  0
10  0      0 15035008 148660 889732    0    0     0     0  502  382 100  0  0  0  0
10  0      0 15034884 148660 889760    0    0     0     0  490  379 100  0  0  0  0
11  0      0 15031904 148660 889836    0    0     0     0  501  387 100  0  0  0  0
12  0      0 15031780 148668 889852    0    0     0    16  500  395 100  0  0  0  0
12  0      0 15028792 148668 889928    0    0     0     0  513  393 100  0  0  0  0
12  0      0 15028792 148668 889956    0    0     0     0  505  386 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 15028792 148668 889960    0    0     0     0  519  384 100  0  0  0  0
13  0      0 15025680 148668 890028    0    0     0    52  508  382 100  0  0  0  0
14  0      0 15019588 148676 890200    0    0     0    16  505  398 100  0  0  0  0
15  0      0 15019464 148676 890256    0    0     0     0  505  371 99  1  0  0  0
15  0      0 15019464 148676 890260    0    0     0     0  521  370 99  1  0  0  0
16  0      0 15019464 148676 890260    0    0     0     0  513  367 100  0  0  0  0
15  0      0 15016352 148676 890332    0    0     0     4  514  385 99  1  0  0  0
16  0      0 15016352 148684 890360    0    0     0    16  503  370 100  0  0  0  0
16  0      0 15016352 148684 890360    0    0     0     0  511  365 100  0  0  0  0
17  0      0 15016352 148684 890364    0    0     0     0  510  372 100  0  0  0  0
17  0      0 15013124 148684 890436    0    0     0     0  519  374 99  1  0  0  0
18  0      0 15013124 148684 890460    0    0     0     8  510  367 100  0  0  0  0
17  0      0 15013124 148692 890460    0    0     0    36  526  380 100  0  0  0  0
17  0      0 15010136 148692 890532    0    0     0     0  514  381 100  0  0  0  0
18  0      0 15004044 148692 890700    0    0     0     0  516  382 99  1  0  0  0
20  0      0 14991604 148692 891096    0    0     0     0  494  368 99  1  0  0  0
24  0      0 14994100 148692 891144    0    0     0    64  505  377 100  0  0  0  0
23  0      0 14994156 148700 891148    0    0     0    24  512  387 100  0  0  0  0
22  0      0 14994156 148700 891148    0    0     0     0  524  393 100  0  0  0  0
22  0      0 14994156 148700 891152    0    0     0     0  518  384 100  0  0  0  0
23  0      0 14994156 148700 891152    0    0     0     0  514  380 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 14991604 148700 891156    0    0     0     0  512  394 100  0  0  0  0
25  0      0 14991604 148708 891156    0    0     0    16  506  397 100  0  0  0  0
23  0      0 14991604 148708 891164    0    0     0     0  528  389 100  0  0  0  0
24  0      0 14991604 148708 891164    0    0     0     0  521  384 100  0  0  0  0
24  0      0 14991604 148708 891168    0    0     0     0  508  380 100  0  0  0  0
24  0      0 14988368 148708 891240    0    0     0     0  515  387 100  0  0  0  0
26  0      0 14988368 148716 891264    0    0     0    16  500  401 100  0  0  0  0
26  0      0 14988368 148716 891272    0    0     0     0  536  386 100  0  0  0  0
25  0      0 14988368 148716 891276    0    0     0     0  519  388 100  0  0  0  0
25  0      0 14985388 148716 891348    0    0     0     0  509  373 100  0  0  0  0
27  0      0 14985388 148716 891372    0    0     0     0  491  386 99  1  0  0  0
27  0      0 14985140 148724 891364    0    0     0    44  540  388 100  0  0  0  0
26  0      0 14985140 148724 891376    0    0     0     0  518  368 100  0  0  0  0
26  0      0 14982152 148724 891448    0    0     0     0  514  375 100  0  0  0  0
28  0      0 14975936 148724 891620    0    0     0     0  498  396 100  0  0  0  0
29  0      0 14975936 148724 891668    0    0     0     0  516  380 100  0  0  0  0
27  0      0 14972824 148732 891732    0    0     0    16  528  391 100  0  0  0  0
30  0      0 14966608 148732 891912    0    0     0     0  513  383 100  0  0  0  0
31  0      0 14969104 148732 891960    0    0     0     0  508  382 99  1  0  0  0
33  0      0 14966856 148732 891964    0    0     0     0  517  377 100  0  0  0  0
34  0      0 14960632 148732 892104    0    0     0     0  514  387 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 14960632 148740 892160    0    0     0    32  548  400 100  0  0  0  0
33  0      0 14960508 148740 892168    0    0     0     0  507  377 100  0  0  0  0
33  0      0 14962936 148740 892172    0    0     0     0  514  385 100  0  0  0  0
33  0      0 14965860 148740 892172    0    0     0     0  519  375 100  0  0  0  0
34  0      0 14963432 148740 892176    0    0     0     0  516  375 100  0  0  0  0
33  0      0 14957404 148748 892240    0    0     0    84  520  382 99  1  0  0  0
36  0      0 14947632 148748 892620    0    0     0     0  518  394 99  1  0  0  0
37  0      0 14940288 148748 893424    0    0     0     0  510  391 100  0  0  0  0
43  0      0 14923088 148748 893472    0    0     0     0  497  371 100  0  0  0  0
43  0      0 14925888 148748 893472    0    0     0     0  496  386 98  2  0  0  0
41  0      0 14928576 148748 893476    0    0     0     0  535  418 99  1  0  0  0
41  0      0 14931768 148756 893332    0    0     0    16  518  412 99  1  0  0  0
41  0      0 14934776 148756 893320    0    0     0     0  526  403 99  1  0  0  0
40  0      0 14937756 148756 893264    0    0     0     0  524  408 100  0  0  0  0
40  0      0 14937756 148756 893268    0    0     0     0  520  384 100  0  0  0  0
41  0      0 14937756 148756 893268    0    0     0     0  518  396 98  2  0  0  0
41  0      0 14937756 148764 893272    0    0     0    16  528  399 99  1  0  0  0
41  0      0 14937756 148764 893272    0    0     0     0  520  405 100  0  0  0  0
41  0      0 14935328 148764 893276    0    0     0     0  524  381 99  1  0  0  0
41  0      0 14935328 148764 893276    0    0     0     0  514  396 100  0  0  0  0
44  0      0 14932404 148764 893280    0    0     0     0  508  366 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 14932280 148772 893280    0    0     0    32  538  417 100  0  0  0  0
45  0      0 14929356 148772 893280    0    0     0     0  498  366 100  0  0  0  0
44  0      0 14929232 148772 893284    0    0     0     0  545  388 99  1  0  0  0
45  0      0 14926276 148772 893284    0    0     0     0  506  386 100  0  0  0  0
44  0      0 14928704 148772 893328    0    0     0     0  520  385 100  0  0  0  0
45  0      0 14928704 148780 893332    0    0     0    16  524  396 100  0  0  0  0
43  0      0 14926276 148780 893336    0    0     0     0  530  368 100  0  0  0  0
45  0      0 14926276 148780 893336    0    0     0     0  510  385 100  0  0  0  0
47  0      0 14923164 148780 893408    0    0     0     0  500  355 100  0  0  0  0
46  0      0 14923164 148780 893428    0    0     0     0  528  385 100  0  0  0  0
48  0      0 14919928 148788 893504    0    0     0    32  522  377 100  0  0  0  0
47  0      0 14919928 148788 893524    0    0     0     0  535  377 100  0  0  0  0
48  0      0 14919928 148788 893528    0    0     0     0  495  377 100  0  0  0  0
48  0      0 14916700 148788 893600    0    0     0     0  544  360 100  0  0  0  0
49  0      0 14916700 148788 893620    0    0     0     0  497  388 99  1  0  0  0
50  0      0 14913680 148796 893680    0    0     0    88  525  370 100  0  0  0  0
48  0      0 14913556 148796 893756    0    0     0     0  531  383 100  0  0  0  0
51  0      0 14910568 148796 893828    0    0     0     0  505  368 100  0  0  0  0
51  0      0 14906896 148796 894000    0    0     0     0  543  361 99  1  0  0  0
51  0      0 14904352 148796 894048    0    0     0     0  502  384 100  0  0  0  0
54  0      0 14901240 148804 894116    0    0     0    16  503  362 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  0      0 14903736 148804 894148    0    0     0     0  556  381 100  0  0  0  0
54  0      0 14901332 148804 894152    0    0     0     0  485  378 99  1  0  0  0
54  0      0 14897660 148804 894324    0    0     0     0  533  366 100  0  0  0  0
52  0      0 14897612 148804 894384    0    0     0     0  525  390 100  0  0  0  0
56  0      0 14895240 148812 894376    0    0     0    16  513  376 100  0  0  0  0
55  0      0 14895116 148812 894384    0    0     0     0  528  365 100  0  0  0  0
55  0      0 14895116 148812 894388    0    0     0     0  532  393 100  0  0  0  0
57  0      0 14892004 148812 894456    0    0     0     0  505  354 100  0  0  0  0
55  0      0 14890876 148812 894628    0    0     0     0  548  368 100  0  0  0  0
57  0      0 14885912 148820 894672    0    0     0    32  504  394 100  0  0  0  0
59  0      0 14882768 148820 894752    0    0     0     0  515  351 100  0  0  0  0
58  0      0 14881516 148820 894952    0    0     0     0  538  388 99  1  0  0  0
59  0      0 14878980 148820 895004    0    0     0     0  508  384 100  0  0  0  0
62  0      0 14876552 148820 895004    0    0     0     0  486  345 100  0  0  0  0
25  0      0 14878856 148820 895008    0    0     0     0  534  419 99  1  0  0  0
