procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 15064824 147464 888060    0    0    67    54  207  175 37  1 61  1  0
 1  0      0 15064888 147464 888064    0    0     0     0  236  134 40  0 60  0  0
 1  0      0 15064888 147464 888064    0    0     0     0  244  128 41  0 59  0  0
 1  0      0 15064888 147472 888056    0    0     0    36  245  146 41  0 56  3  0
 1  0      0 15064888 147472 888068    0    0     0     0  255  136 40  0 60  0  0
 1  0      0 15064888 147472 888068    0    0     0     0  241  127 40  0 60  0  0
 1  0      0 15064888 147472 888068    0    0     0     0  257  143 41  0 59  0  0
 1  0      0 15064888 147472 888068    0    0     0     0  239  129 41  0 59  0  0
 1  0      0 15064888 147480 888060    0    0     0    16  251  147 41  0 57  2  0
 1  0      0 15064888 147480 888072    0    0     0     0  240  135 41  0 59  0  0
 1  0      0 15064888 147480 888072    0    0     0     0  258  133 40  1 59  0  0
 1  0      0 15064888 147480 888072    0    0     0     0  241  127 41  0 59  0  0
 1  0      0 15064888 147480 888072    0    0     0     0  252  129 40  0 60  0  0
 1  0      0 15064888 147488 888072    0    0     0    16  251  157 41  0 57  2  0
 1  0      0 15064888 147488 888072    0    0     0    60  269  130 40  0 60  0  0
 1  0      0 15064888 147488 888076    0    0     0     0  239  122 41  0 59  0  0
 1  0      0 15064888 147488 888076    0    0     0     0  250  130 41  0 59  0  0
 1  0      0 15064888 147488 888076    0    0     0     0  241  128 40  0 60  0  0
 1  0      0 15064888 147496 888068    0    0     0    16  263  146 40  1 57  2  0
 1  0      0 15064888 147496 888080    0    0     0     0  242  140 40  0 60  0  0
 1  0      0 15064888 147496 888080    0    0     0     0  245  130 40  0 60  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 15064888 147496 888080    0    0     0     0  239  128 41  0 59  0  0
 1  0      0 15064888 147496 888080    0    0     0     0  262  145 40  0 60  0  0
 1  0      0 15064888 147504 888072    0    0     0    16  243  142 41  0 57  2  0
 1  0      0 15064888 147504 888084    0    0     0     0  250  133 40  0 60  0  0
 1  0      0 15064888 147504 888084    0    0     0     0  243  146 40  0 60  0  0
 1  0      0 15064888 147504 888084    0    0     0     0  255  133 41  0 59  0  0
 1  0      0 15064888 147504 888084    0    0     0     0  242  132 40  0 60  0  0
 1  0      0 15064888 147512 888076    0    0     0    16  252  151 41  0 57  2  0
 1  0      0 15064888 147512 888088    0    0     0    36  244  133 39  2 59  0  0
 1  0      0 15064888 147512 888088    0    0     0     0  242  124 41  0 59  0  0
 1  0      0 15064888 147512 888088    0    0     0     0  248  136 41  0 59  0  0
 1  0      0 15064888 147512 888088    0    0     0     0  247  130 41  0 59  0  0
 1  0      0 15064888 147520 888080    0    0     0    36  250  143 41  0 56  3  0
 1  0      0 15064888 147520 888088    0    0     0     4  261  142 41  1 58  0  0
 1  0      0 15064888 147520 888092    0    0     0     0  241  126 41  0 59  0  0
 1  0      0 15064888 147520 888092    0    0     0     0  254  127 40  0 60  0  0
 1  0      0 15064888 147520 888092    0    0     0     0  242  133 41  0 59  0  0
 1  0      0 15064888 147528 888084    0    0     0    24  255  142 41  0 57  2  0
 1  0      0 15064888 147528 888092    0    0     0     0  245  133 41  0 59  0  0
 1  0      0 15064888 147528 888096    0    0     0     0  250  129 40  0 60  0  0
 1  0      0 15064888 147528 888096    0    0     0     0  232  125 41  0 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064888 147528 888096    0    0     0     0  247  126 40  0 60  0  0
 1  0      0 15064888 147536 888088    0    0     0    16  241  139 40  0 57  3  0
 1  0      0 15064888 147536 888100    0    0     0     0  250  129 41  0 59  0  0
 1  0      0 15064888 147536 888104    0    0     0     0  238  124 41  0 59  0  0
 1  0      0 15064888 147536 888104    0    0     0     0  251  128 41  0 59  0  0
 1  0      0 15064888 147536 888104    0    0     0     0  239  123 40  1 59  0  0
 1  0      0 15064888 147544 888096    0    0     0    16  262  149 40  1 57  2  0
 1  0      0 15064888 147544 888104    0    0     0     0  248  135 41  0 59  0  0
 1  0      0 15064888 147544 888108    0    0     0    28  252  126 40  0 60  0  0
 1  0      0 15064888 147544 888108    0    0     0     0  242  129 40  0 60  0  0
 1  0      0 15064888 147544 888108    0    0     0     0  245  124 40  0 60  0  0
 1  0      0 15064888 147552 888100    0    0     0    16  250  148 41  0 57  2  0
 1  0      0 15064888 147552 888108    0    0     0     0  247  128 40  0 60  0  0
 1  0      0 15064888 147552 888108    0    0     0     0  242  137 40  0 60  0  0
 1  0      0 15064888 147552 888112    0    0     0     0  259  137 41  0 59  0  0
 1  0      0 15064888 147552 888112    0    0     0     0  247  136 41  0 59  0  0
 1  0      0 15064888 147560 888104    0    0     0    16  263  144 41  1 56  2  0
 1  0      0 15064888 147560 888112    0    0     0     0  246  129 41  0 59  0  0
 1  0      0 15064888 147560 888112    0    0     0    28  250  127 40  0 60  0  0
 1  0      0 15064888 147560 888116    0    0     0     0  242  126 41  0 59  0  0
 1  0      0 15064888 147560 888116    0    0     0     0  249  124 41  0 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064888 147568 888108    0    0     0    24  255  144 41  0 57  2  0
 1  0      0 15064888 147568 888116    0    0     0     0  259  138 41  0 59  0  0
 1  0      0 15064888 147568 888116    0    0     0     8  242  130 40  0 60  0  0
 1  0      0 15064888 147568 888120    0    0     0     0  251  131 41  0 59  0  0
 1  0      0 15064888 147568 888120    0    0     0     0  241  126 41  0 59  0  0
 1  0      0 15064764 147576 888112    0    0     0    24  259  154 40  0 57  3  0
 1  0      0 15064764 147576 888120    0    0     0     0  244  129 40  0 60  0  0
 1  0      0 15064764 147576 888120    0    0     0     0  255  134 40  0 60  0  0
 1  0      0 15064764 147576 888124    0    0     0     0  237  125 40  0 60  0  0
