procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 15065072 147272 887976    0    0    68    55  207  176 37  1 61  1  0
 1  0      0 15065136 147272 887980    0    0     0     0  192  121 30  0 70  0  0
 1  0      0 15065136 147272 887980    0    0     0     0  188  109 31  0 69  0  0
 1  0      0 15065136 147272 887984    0    0     0     0  196  110 30  0 70  0  0
 1  0      0 15065136 147280 887984    0    0     0    32  192  126 30  0 68  2  0
 1  0      0 15065136 147280 887984    0    0     0     0  195  111 30  0 70  0  0
 1  0      0 15065136 147280 887984    0    0     0     0  189  114 30  0 70  0  0
 1  0      0 15065136 147280 887984    0    0     0     4  195  122 31  0 69  0  0
 1  0      0 15065136 147280 887984    0    0     0     0  185  110 30  0 70  0  0
 1  0      0 15065136 147288 887988    0    0     0    16  199  120 31  0 66  3  0
 1  0      0 15065136 147288 887988    0    0     0     0  183  106 30  0 70  0  0
 1  0      0 15065136 147288 887988    0    0     0     0  209  113 30  0 70  0  0
 1  0      0 15065136 147288 887988    0    0     0     0  189  110 31  1 68  0  0
 1  0      0 15065136 147288 887988    0    0     0     0  192  110 30  0 70  0  0
 1  0      0 15065136 147296 887988    0    0     0    16  185  119 31  0 68  1  0
 1  0      0 15065136 147296 887988    0    0     0     0  188  104 31  0 69  0  0
 1  0      0 15065136 147296 887992    0    0     0     0  187  108 30  0 70  0  0
 1  0      0 15065136 147296 887992    0    0     0     0  202  115 31  0 69  0  0
 1  0      0 15065136 147296 887992    0    0     0     0  195  114 30  0 70  0  0
 1  0      0 15065136 147304 887992    0    0     0    16  210  135 29  1 68  2  0
 1  0      0 15065136 147304 887992    0    0     0     0  194  113 31  0 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15065136 147304 887992    0    0     0     0  199  118 30  0 70  0  0
 1  0      0 15065136 147304 887992    0    0     0     0  197  124 31  0 69  0  0
 1  0      0 15065136 147304 887996    0    0     0     0  209  132 30  0 70  0  0
 1  0      0 15065136 147312 887996    0    0     0    16  190  122 30  0 69  1  0
 1  0      0 15065136 147312 887996    0    0     0     0  195  108 31  0 69  0  0
 1  0      0 15065136 147312 887996    0    0     0     0  192  119 30  0 70  0  0
 1  0      0 15065136 147312 887996    0    0     0     0  208  119 31  1 68  0  0
 1  0      0 15065136 147312 887996    0    0     0    28  198  120 30  0 70  0  0
 1  0      0 15065136 147320 887996    0    0     0    36  202  124 30  0 67  3  0
 1  0      0 15065136 147320 888000    0    0     0     0  193  115 31  0 69  0  0
 1  0      0 15065136 147320 888000    0    0     0     0  192  113 30  0 70  0  0
 1  0      0 15065136 147320 888000    0    0     0     0  208  146 31  0 69  0  0
 1  0      0 15065136 147320 888000    0    0     0    52  205  111 30  0 70  0  0
 1  0      0 15065136 147328 888000    0    0     0    24  203  129 30  0 68  2  0
 1  0      0 15065136 147328 888000    0    0     0     0  193  111 30  1 69  0  0
 1  0      0 15065136 147328 888000    0    0     0     0  192  112 31  0 69  0  0
 1  0      0 15065136 147328 888004    0    0     0     0  207  120 30  0 70  0  0
 1  0      0 15065136 147328 888004    0    0     0     0  203  121 30  0 70  0  0
