procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15063392 148172 888612    0    0     0    24  395  187 72  0 28  0  0
 1  0      0 15063392 148172 888616    0    0     0     0  403  178 70  1 29  0  0
 1  0      0 15063392 148180 888616    0    0     0    16  409  191 71  0 27  2  0
 1  0      0 15063392 148180 888616    0    0     0     0  405  188 71  0 29  0  0
 1  0      0 15063392 148180 888620    0    0     0     0  390  178 72  0 28  0  0
 1  0      0 15063392 148180 888620    0    0     0     0  400  181 71  0 29  0  0
 1  0      0 15063392 148180 888620    0    0     0     0  394  181 71  0 29  0  0
 1  0      0 15063392 148188 888624    0    0     0    16  404  203 71  0 28  1  0
 1  0      0 15063392 148188 888624    0    0     0     0  390  178 71  0 29  0  0
 1  0      0 15063392 148188 888624    0    0     0     0  417  184 71  0 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15063392 148188 888628    0    0     0     0  406  195 72  0 28  0  0
 1  0      0 15063392 148188 888628    0    0     0     0  402  185 70  1 29  0  0
 1  0      0 15063392 148196 888628    0    0     0    16  400  185 71  0 28  1  0
 1  0      0 15063392 148196 888632    0    0     0     0  398  176 71  0 29  0  0
 1  0      0 15063392 148196 888632    0    0     0     0  397  187 71  0 29  0  0
 1  0      0 15063392 148196 888636    0    0     0     0  414  189 71  0 29  0  0
 1  0      0 15063392 148196 888640    0    0     0     0  401  192 71  0 29  0  0
 1  0      0 15063268 148204 888644    0    0     0    16  408  193 71  1 27  1  0
 1  0      0 15063268 148204 888644    0    0     0     0  390  175 71  0 29  0  0
 1  0      0 15063268 148204 888648    0    0     0     0  407  182 71  0 29  0  0
 1  0      0 15063268 148204 888648    0    0     0     0  404  183 72  0 28  0  0
 1  0      0 15063268 148204 888652    0    0     0    52  410  185 71  0 29  0  0
 1  0      0 15063268 148212 888652    0    0     0    32  399  196 71  0 27  2  0
 1  0      0 15063268 148212 888652    0    0     0     0  413  181 71  0 29  0  0
 1  0      0 15063268 148212 888656    0    0     0     0  404  181 72  0 28  0  0
 1  0      0 15063268 148212 888656    0    0     0     0  415  186 71  0 29  0  0
 1  0      0 15063268 148212 888656    0    0     0     0  393  185 70  2 28  0  0
 1  0      0 15063268 148220 888660    0    0     0    16  408  201 71  0 27  2  0
 1  0      0 15063268 148220 888660    0    0     0     0  399  177 70  1 29  0  0
 1  0      0 15063268 148220 888660    0    0     0     0  404  182 72  0 28  0  0
 1  0      0 15063268 148220 888664    0    0     0     0  401  187 71  0 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15063268 148220 888664    0    0     0     0  409  182 71  0 29  0  0
 1  0      0 15063268 148228 888664    0    0     0    16  408  193 71  0 27  2  0
 1  0      0 15063268 148228 888668    0    0     0     0  412  180 71  0 29  0  0
 1  0      0 15063268 148228 888668    0    0     0     0  391  179 71  0 29  0  0
 1  0      0 15063268 148228 888668    0    0     0     0  411  181 71  0 29  0  0
 1  0      0 15063268 148228 888672    0    0     0    16  416  192 71  0 29  0  0
 1  0      0 15063268 148236 888672    0    0     0    16  419  205 71  0 27  2  0
 1  0      0 15063268 148236 888672    0    0     0     0  398  185 72  0 28  0  0
 2  0      0 15063268 148236 888676    0    0     0     0  406  182 71  0 29  0  0
 2  0      0 15063268 148236 888676    0    0     0     0  404  192 71  0 29  0  0
 2  0      0 15063268 148236 888676    0    0     0     0  408  178 72  0 28  0  0
 2  0      0 15063268 148244 888680    0    0     0    16  399  188 71  0 28  1  0
 2  0      0 15063268 148244 888680    0    0     0     0  407  179 72  0 28  0  0
