procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 15064452 147656 888164    0    0    66    54  207  175 37  1 61  1  0
 1  0      0 15064516 147656 888172    0    0     0     0  290  151 49  1 50  0  0
 1  0      0 15064516 147656 888172    0    0     0     0  305  158 49  1 50  0  0
 1  0      0 15064516 147664 888172    0    0     0    56  300  157 49  0 51  0  0
 1  0      0 15064516 147664 888172    0    0     0     0  291  152 49  0 51  0  0
 1  0      0 15064516 147664 888176    0    0     0     0  282  140 49  0 51  0  0
 1  0      0 15064516 147664 888176    0    0     0     0  294  145 49  0 51  0  0
 1  0      0 15064516 147664 888176    0    0     0     0  287  150 49  1 50  0  0
 1  0      0 15064516 147672 888176    0    0     0    16  301  163 50  0 48  2  0
 1  0      0 15064516 147672 888180    0    0     0     0  281  142 49  0 51  0  0
 1  0      0 15064516 147672 888180    0    0     0     4  287  143 49  0 51  0  0
 1  0      0 15064516 147672 888180    0    0     0     0  283  142 49  0 51  0  0
 1  0      0 15064516 147672 888180    0    0     0     0  297  144 49  0 51  0  0
 1  0      0 15064516 147680 888184    0    0     0    16  283  161 49  0 48  2  0
 1  0      0 15064516 147680 888184    0    0     0     0  291  142 49  0 51  0  0
 1  0      0 15064516 147680 888184    0    0     0     0  285  141 49  0 51  0  0
 1  0      0 15064516 147680 888184    0    0     0     0  299  152 49  0 51  0  0
 1  0      0 15064516 147680 888188    0    0     0     0  289  150 49  1 50  0  0
 1  0      0 15064516 147688 888188    0    0     0    16  296  156 49  0 49  1  0
 1  0      0 15064516 147688 888188    0    0     0     0  292  149 49  0 51  0  0
 1  0      0 15064516 147688 888188    0    0     0     0  293  156 49  0 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064516 147688 888188    0    0     0     0  289  145 49  0 51  0  0
 1  0      0 15064516 147688 888192    0    0     0     0  294  157 49  1 50  0  0
 1  0      0 15064516 147696 888192    0    0     0    16  300  166 50  0 49  1  0
 1  0      0 15064516 147696 888192    0    0     0     0  295  160 49  0 51  0  0
 2  0      0 15064516 147696 888192    0    0     0     0  284  142 49  1 49  0  0
 1  0      0 15064516 147696 888196    0    0     0     0  302  149 50  0 50  0  0
 1  0      0 15064516 147696 888196    0    0     0     0  296  150 51  0 49  0  0
 1  0      0 15064516 147704 888196    0    0     0    16  307  163 50  2 46  2  0
 1  0      0 15064516 147704 888196    0    0     0     0  294  140 51  0 49  0  0
 1  0      0 15064516 147704 888200    0    0     0     0  299  143 51  0 49  0  0
 1  0      0 15064516 147704 888200    0    0     0    48  308  151 51  0 49  0  0
 1  0      0 15064516 147704 888200    0    0     0     0  303  148 51  0 49  0  0
 1  0      0 15064516 147712 888200    0    0     0    44  305  161 51  0 47  2  0
 1  0      0 15064516 147712 888204    0    0     0     0  305  150 51  0 49  0  0
 1  0      0 15064516 147712 888204    0    0     0     0  287  138 52  0 48  0  0
 1  0      0 15064516 147712 888204    0    0     0    52  318  158 51  0 49  0  0
 1  0      0 15064516 147712 888204    0    0     0     0  294  146 51  0 49  0  0
 1  0      0 15064516 147720 888208    0    0     0    16  307  160 51  0 46  3  0
 1  0      0 15064516 147720 888208    0    0     0     0  298  146 51  0 49  0  0
 1  0      0 15064516 147720 888208    0    0     0     0  306  146 51  0 49  0  0
 1  0      0 15064516 147720 888208    0    0     0     0  298  147 51  0 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064516 147720 888212    0    0     0     0  304  148 51  0 49  0  0
 1  0      0 15064516 147728 888212    0    0     0    16  304  157 51  0 46  3  0
 1  0      0 15064516 147728 888216    0    0     0     0  302  155 51  0 49  0  0
 1  0      0 15064516 147728 888216    0    0     0     0  297  145 51  0 49  0  0
 1  0      0 15064516 147728 888220    0    0     0     0  305  154 51  0 49  0  0
 1  0      0 15064516 147728 888220    0    0     0     0  307  158 51  0 49  0  0
 1  0      0 15064516 147736 888220    0    0     0    16  310  159 51  0 48  1  0
 1  0      0 15064516 147736 888220    0    0     0     0  306  146 51  0 49  0  0
 1  0      0 15064516 147736 888224    0    0     0     0  302  146 51  0 49  0  0
 1  0      0 15064516 147736 888224    0    0     0     0  292  143 51  0 49  0  0
 1  0      0 15064516 147736 888224    0    0     0     0  307  150 51  0 49  0  0
 1  0      0 15064516 147744 888224    0    0     0    16  307  164 52  0 47  1  0
 1  0      0 15064516 147744 888228    0    0     0     0  310  148 51  1 48  0  0
 1  0      0 15064516 147744 888228    0    0     0     0  290  142 51  0 49  0  0
 1  0      0 15064516 147744 888228    0    0     0     0  305  153 51  0 49  0  0
 1  0      0 15064516 147744 888228    0    0     0     0  298  152 51  0 49  0  0
 1  0      0 15064516 147752 888232    0    0     0    16  309  158 51  0 48  1  0
 1  0      0 15064516 147752 888232    0    0     0     0  292  141 51  0 49  0  0
 1  0      0 15064516 147752 888232    0    0     0     0  302  147 51  0 49  0  0
 1  0      0 15064516 147752 888232    0    0     0    32  296  151 51  0 49  0  0
 1  0      0 15064516 147752 888236    0    0     0     0  304  148 51  0 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064516 147760 888236    0    0     0    24  305  161 51  0 46  3  0
 1  0      0 15064516 147760 888236    0    0     0     0  305  150 51  0 49  0  0
 1  0      0 15064516 147760 888236    0    0     0     0  289  139 52  0 48  0  0
 1  0      0 15064516 147760 888240    0    0     0     8  307  168 51  1 48  0  0
 1  0      0 15064516 147760 888240    0    0     0     0  300  154 51  0 49  0  0
 1  0      0 15064516 147768 888240    0    0     0    24  312  176 51  0 47  2  0
 1  0      0 15064516 147768 888240    0    0     0     0  302  144 51  0 49  0  0
 1  0      0 15064516 147768 888240    0    0     0     0  300  141 51  0 49  0  0
 1  0      0 15064516 147768 888244    0    0     0     0  295  144 51  0 49  0  0
 1  0      0 15064516 147768 888244    0    0     0    16  304  149 51  0 49  0  0
 1  0      0 15064516 147776 888244    0    0     0    16  309  158 51  0 46  3  0
 1  0      0 15064516 147776 888244    0    0     0     0  307  151 51  0 49  0  0
 1  0      0 15064392 147776 888248    0    0     0     0  297  141 51  0 49  0  0
 1  0      0 15064392 147776 888248    0    0     0     0  301  151 51  0 49  0  0
 1  0      0 15064392 147776 888248    0    0     0     0  303  153 51  0 49  0  0
 1  0      0 15064392 147784 888248    0    0     0    16  312  156 51  0 48  1  0
 1  0      0 15064392 147784 888252    0    0     0     0  298  146 51  0 49  0  0
 1  0      0 15064392 147784 888252    0    0     0     0  310  154 51  0 49  0  0
 1  0      0 15064392 147784 888252    0    0     0     0  290  142 51  0 49  0  0
 1  0      0 15064392 147784 888252    0    0     0     0  305  152 51  0 49  0  0
 1  0      0 15064392 147792 888256    0    0     0    16  304  161 51  0 48  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15064392 147792 888256    0    0     0     0  309  154 52  0 48  0  0
 1  0      0 15064392 147792 888256    0    0     0     0  302  146 51  0 49  0  0
 1  0      0 15064392 147792 888256    0    0     0     0  299  141 51  0 49  0  0
 1  0      0 15064392 147792 888260    0    0     0     0  301  151 51  0 49  0  0
 1  0      0 15064392 147800 888260    0    0     0    16  308  168 50  1 48  1  0
 1  0      0 15064392 147800 888264    0    0     0     0  300  147 52  0 48  0  0
 1  0      0 15064392 147800 888264    0    0     0     0  298  146 51  0 49  0  0
 1  0      0 15064392 147800 888268    0    0     0     0  295  144 51  0 49  0  0
 1  0      0 15064392 147800 888268    0    0     0    36  294  152 51  0 49  0  0
 1  0      0 15064392 147808 888268    0    0     0    24  297  157 51  0 47  2  0
 1  0      0 15064392 147808 888268    0    0     0     0  302  147 51  0 49  0  0
 1  0      0 15064392 147808 888272    0    0     0     0  289  142 51  0 49  0  0
 1  0      0 15064392 147808 888272    0    0     0     0  299  147 50  1 49  0  0
 1  0      0 15064392 147808 888272    0    0     0     8  293  152 50  0 50  0  0
 1  0      0 15064392 147816 888272    0    0     0    24  298  160 49  1 47  3  0
 1  0      0 15064392 147816 888276    0    0     0     0  299  146 51  0 49  0  0
 1  0      0 15064392 147816 888276    0    0     0     0  295  141 50  0 50  0  0
 1  0      0 15064392 147816 888276    0    0     0     0  290  144 50  0 50  0  0
 2  0      0 15063624 147816 888276    0    0     0     0  301  164 49  1 50  0  0
 1  0      0 15063896 147824 888280    0    0     0    40  358  902 61  9 30  0  0
 1  0      0 15063896 147824 888280    0    0     0     0  316  173 51  0 49  0  0
